"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","V(BR)CES Typ (V)","IC Max (A)","VCE(sat) Typ (V)","VF Typ (V)","Eoff Typ (mJ)","Eon Typ (mJ)","Trr Typ (ns)","Irr Typ (A)","Gate Charge Typ (nC)","Short Circuit Withstand (us)","EAS Typ (mJ)","PD Max (W)","Co-Packaged Diode","Package Type"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGB15N41A","NGB15N41ACLT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NGB15N41ACLT4G","http://www.onsemi.com/pub/Collateral/NGD15N41CL-D.PDF","Ignition IGBT, 15 A, 410 V","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Ignition IGBT, 15 A, 410 V","410","15","1.9",,,,,,,,"250","107","No","D<sup>2</sup>PAK-3"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGB8202A","NGB8202ANT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NGB8202ANT4G","http://www.onsemi.com/pub/Collateral/NGB8202N-D.PDF","Ignition IGBT, N-Channel, 20 A, 400 V","Pb-free
Halide free","Active","Ignition IGBT, N-Channel, 20 A, 400 V","400","20","1.3",,,,,,,,"250","150","No","D<sup>2</sup>PAK-3"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGB8206A","NGB8206ANSL3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NGB8206ANSL3G","http://www.onsemi.com/pub/Collateral/NGB8206N-D.PDF","Ignition IGBT, N-Channel, 20 A, 350 V","Pb-free
Halide free","Active","Ignition IGBT, N-Channel, 20 A, 350 V","350","20","1.3",,,,,,,,"250","150","No","D<sup>2</sup>PAK-3"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGB8206A","NGB8206ANT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NGB8206ANT4G","http://www.onsemi.com/pub/Collateral/NGB8206N-D.PDF","Ignition IGBT, N-Channel, 20 A, 350 V","Pb-free
Halide free","Active","Ignition IGBT, N-Channel, 20 A, 350 V","350","20","1.3",,,,,,,,"250","150","No","D<sup>2</sup>PAK-3"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGB8206A","NGB8206ANTF4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NGB8206ANTF4G","http://www.onsemi.com/pub/Collateral/NGB8206N-D.PDF","Ignition IGBT, N-Channel, 20 A, 350 V","Pb-free
Halide free","Active","Ignition IGBT, N-Channel, 20 A, 350 V","350","20","1.3",,,,,,,,"250","150","No","D<sup>2</sup>PAK-3"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGB8207B","NGB8207BNT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NGB8207BNT4G","http://www.onsemi.com/pub/Collateral/NGB8207N-D.PDF","Ignition IGBT, N-Channel, 20 A, 365 V","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Ignition IGBT, N-Channel, 20 A, 365 V","365","20","1.5",,,,,,,,"500","165","No","D<sup>2</sup>PAK-3"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGD15N41A","NGD15N41ACLT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NGD15N41ACLT4G","http://www.onsemi.com/pub/Collateral/NGD15N41CL-D.PDF","Ignition IGBT, 15 A, 410 V","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Ignition IGBT, 15 A, 410 V","410","15","1.9",,,,,,,,"250","107","No","DPAK-3"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGD18N45","NGD18N45CLBT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NGD18N45CLBT4G","http://www.onsemi.com/pub/Collateral/NGD18N45CLB-D.PDF","Ignition IGBT 18A,450V","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active"," Ignition IGBT 18A,450V","450","18","2.07",,,,,,,,"360","115","No","DPAK-3"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGD8201B","NGD8201BNT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NGD8201BNT4G","http://www.onsemi.com/pub/Collateral/NGD8201B-D.PDF","Ignition IGBT","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Ignition IGBT","400","20","1.5",,,,,,,,"435","115","No","DPAK-3"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGTB03N60R2DT4G","NGTB03N60R2DT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NGTB03N60R2DT4G","http://www.onsemi.com/pub/Collateral/NGTB03N60R2DT4G-D.PDF","IGBT, 600V, 4.5A, N-Channel","Pb-free
Halide free","Active","IGBT, 600V, 4.5A, N-Channel","600","4.5","1.7","1.5","27","50","65","NA","17","5","NA","49","Yes","DPAK-3"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGTB10N60FG","NGTB10N60FG","http://www.onsemi.cn/PowerSolutions/product.do?id=NGTB10N60FG","http://www.onsemi.com/pub/Collateral/ENA2283-D.PDF","N-Channel IGBT, 600V, 10A, VCE(sat)=1.5V, TO-220F-3FS","Pb-free
Halide free","Active","N-Channel IGBT, 600V, 10A, VCE(sat)=1.5V, TO-220F-3FS","600","10","1.5","1.3","NA","NA","70","NA","55","5","NA","40","Yes","TO-220F-3FS"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGTB15N120FL","NGTB15N120FLWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NGTB15N120FLWG","http://www.onsemi.com/pub/Collateral/NGTB15N120FLW-D.PDF","IGBT, 1200 V, 15 A, FS1 Solar/UPS","Pb-free
Halide free","Active","IGBT, 1200 V, 15 A, FS1 Solar/UPS","1200","15","2","1.8","0.55","1.17","166","12","150","10",,"156","Yes","TO-247-3"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGTB15N120IH","NGTB15N120IHWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NGTB15N120IHWG","http://www.onsemi.com/pub/Collateral/NGTB15N120IHW-D.PDF","IGBT, 15 A, 1200V in TO247","Pb-free
Halide free","Active","IGBT, 15 A, 1200V in TO247","1200","15","2.1","2","0.36",,,,"120",,,"278",,"TO-247"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGTB15N120IHR","NGTB15N120IHRWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NGTB15N120IHRWG","http://www.onsemi.com/pub/Collateral/NGTB15N120IHR-D.PDF","IGBT 1200V 15A FS2-RC Induction Heating","Pb-free
Halide free","Active","IGBT 1200V 15A FS2-RC Induction Heating","1200","15","2.1","1.75","0.34",,,,"160",,,"333","Yes","TO-247"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGTB15N135IHR","NGTB15N135IHRWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NGTB15N135IHRWG","http://www.onsemi.com/pub/Collateral/NGTB15N135IHR-D.PDF","IGBT 1350V 15A FS2-RC Induction Heating","Pb-free
Halide free","Active","IGBT 1350V 15A FS2-RC Induction Heating","1350","15","2.15","1.85","0.42",,,,"156",,,"357","Yes","TO-247"
"on","IGBT 和 FET---绝缘门双极晶体管 (IGBT)","NGTB15N60R2FG","NGTB15N60R2FG","http://www.onsemi.cn/PowerSolutions/product.do?id=NGTB15N60R2FG","http://www.onsemi.com/pub/Collateral/NGTB15N60R2FG-D.PDF","IGBT, 600V, 14A, N-Channel","Pb-free
Halide free","ActiveNEW","IGBT, 600V, 14A, N-Channel","600","14","1.85","1.7","220","550","95","NA","80","10","NA","54","Yes","TO-220F-3FS"
