"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Polarity","VCE(sat) Max (V)","IC Continuous (A)","V(BR)CEO Min (V)","hFE Min","hFE Max","fT Min (MHz)","PTM Max (W)","Package Type"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3115","CPH3115-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3115-TL-H","http://www.onsemi.com/pub/Collateral/EN6344-D.PDF","Bipolar Transistor, (-)30V, (-)1.5A, Low VCE(sat), (PNP)NPN Single CPH3","Pb-free
Halide free","Active","Bipolar Transistor, (-)30V, (-)1.5A, Low VCE(sat), (PNP)NPN Single CPH3","PNP","0.375","1.5","30","200","560","450","0.9","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3121","CPH3121-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3121-TL-E","http://www.onsemi.com/pub/Collateral/CPH3121-D.PDF","Single PNP Bipolar Transistor, -12 V, -3 A","Pb-free","Active","Single PNP Bipolar Transistor, -12 V, -3 A","PNP",,"3","12","200","560","-","0.9","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3123","CPH3123-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3123-TL-E","http://www.onsemi.com/pub/Collateral/EN7221-D.PDF","Bipolar Transistor, (-)50V, (-)3A, Low VCE(sat), (PNP)NPN Single CPH3","Pb-free","Active","Bipolar Transistor, (-)50V, (-)3A, Low VCE(sat), (PNP)NPN Single CPH3","PNP",,"3","50","200","560","390","0.9","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3144","CPH3144-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3144-TL-E","http://www.onsemi.com/pub/Collateral/EN8165-D.PDF","Bipolar Transistor, -30V, -2A, Low VCE(sat), PNP Single CPH3","Pb-free","Active","Bipolar Transistor, -30V, -2A, Low VCE(sat), PNP Single CPH3","PNP","0.26","2","30","200","560","440","0.9","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3205","CPH3205-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3205-TL-E","http://www.onsemi.com/pub/Collateral/EN6084-D.PDF","Bipolar Transistor, (-)50V, (-)3A, Low VCE(sat), (PNP)NPN Single CPH3","Pb-free","Active","Bipolar Transistor, (-)50V, (-)3A, Low VCE(sat), (PNP)NPN Single CPH3","NPN",,"3","50","200","560","380","0.9","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3212","CPH3212-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3212-TL-E","http://www.onsemi.com/pub/Collateral/EN6147-D.PDF","Bipolar Transistor, 50V, 5A, Low VCE(sat), NPN Single CPH3","Pb-free","Active","Bipolar Transistor, 50V, 5A, Low VCE(sat), NPN Single CPH3","NPN","0.15","5","50","200","560","-","0.9","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3216","CPH3216-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3216-TL-E","http://www.onsemi.com/pub/Collateral/EN6405-D.PDF","Bipolar Transistor, (-)50V, (-)1A, Low VCE(sat), (PNP)NPN Single CPH3","Pb-free","Active","Bipolar Transistor, (-)50V, (-)1A, Low VCE(sat), (PNP)NPN Single CPH3","NPN","0.19","1","50","200","560","420","0.9","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3240","CPH3240-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3240-TL-E","http://www.onsemi.com/pub/Collateral/EN7907-D.PDF","Bipolar Transistor, (-)100V, (-)1A, Low VCE(sat), (PNP)NPN Single CPH3","Pb-free","Active","Bipolar Transistor, (-)100V, (-)1A, Low VCE(sat), (PNP)NPN Single CPH3","NPN",,"1","100","140","400","-","0.9","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH5504","CPH5504-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH5504-TL-E","http://www.onsemi.com/pub/Collateral/CPH5504-D.PDF","Bipolar Transistor, 50V, 3A, Low VCE(sat), NPN Dual CPH5","Pb-free","Active","Bipolar Transistor, 50V, 3A, Low VCE(sat), NPN Dual CPH5","NPN",,"3","50","200","560","-","1.2","CPH-5"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH5506","CPH5506-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH5506-TL-E","http://www.onsemi.com/pub/Collateral/CPH5506-D.PDF","Bipolar Transistor, (-)30V, (-)5A, Low VCE(sat) Complementary Dual CPH5","Pb-free","Active","Bipolar Transistor, (-)30V, (-)5A, Low VCE(sat) Complementary Dual CPH5","Complementary","0.375","1.5","30","200","560","500","1.2","CPH-5"
