"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Megapixels","Frame Rate (fps)","Optical Format","Shutter Type","Pixel Size (µm)","Color","Package Type"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM00SPCA0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM00SPCA0-DRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM00SPCA0-TPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM00SPCA0-TPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM00SPCA0-TRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM00SPCA0-TRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM00SUEA0-DPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM00SUEA0-DPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM00SUEA0-DPBR1","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM00SUEA0-DPBR1","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM00SUEA0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM00SUEA0-DRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM00SUEA0-TPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM00SUEA0-TPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM00SUEA0-TRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM00SUEA0-TRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM25SPCA0-TPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM25SPCA0-TPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM25SUEA0-DPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM25SUEA0-DPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM25SUEA0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM25SUEA0-DRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM25SUEA0-MT-DPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM25SUEA0-MT-DPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM25SUEA0-TPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM25SUEA0-TPBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0134CS","AR0134CSSM25SUEA0-TRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0134CSSM25SUEA0-TRBR","http://www.onsemi.com/pub/Collateral/AR0134CS-D.PDF","1.2 MP 1/3" GS CMOS Image Sensor","Pb-free
Halide free","Active","1.2 MP 1/3" GS CMOS Image Sensor","CMOS","1.2","54","1/3 inch","Global Rolling
Global Shutter","3.75 x 3.75","Mono
RGB","IBGA-63
ILCC-48"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0140AT","AR0140AT2C00XUEA0-DPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0140AT2C00XUEA0-DPBR","-","1.0 MP 1/4" CMOS Image Sensor","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","1.0 MP 1/4" CMOS Image Sensor","CMOS","1","60","1/4 inch","Electronic Rolling","3.0 x 3.0","RGB","IBGA-63"
"on","光电、图像及触摸传感器---CMOS图像传感器","AR0140AT","AR0140AT2C00XUEA0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=AR0140AT2C00XUEA0-DRBR","-","1.0 MP 1/4" CMOS Image Sensor","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","1.0 MP 1/4" CMOS Image Sensor","CMOS","1","60","1/4 inch","Electronic Rolling","3.0 x 3.0","RGB","IBGA-63"
