"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","VCC Min (V)","VCC Max (V)","tpd Max (ns)","PD Max (W)","IO Max (mA)","Package Type"
"on","标准逻辑---运算功能","MC74HC390A","MC74HC390ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC390ADG","http://www.onsemi.com/pub/Collateral/MC74HC390A-D.PDF","Dual 4-Stage Binary Ripple Counter with ÷2 and ÷5 Sections","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Dual 4-Stage Binary Ripple Counter with &#247;2 and &#247;5 Sections","Counter","2","6","58","0.75","5.2","SOIC-16
SOIC-20W
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC390A","MC74HC390ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC390ADR2G","http://www.onsemi.com/pub/Collateral/MC74HC390A-D.PDF","Dual 4-Stage Binary Ripple Counter with ÷2 and ÷5 Sections","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Dual 4-Stage Binary Ripple Counter with &#247;2 and &#247;5 Sections","Counter","2","6","58","0.75","5.2","SOIC-16
SOIC-20W
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC390A","MC74HC390ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC390ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HC390A-D.PDF","Dual 4-Stage Binary Ripple Counter with ÷2 and ÷5 Sections","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Dual 4-Stage Binary Ripple Counter with &#247;2 and &#247;5 Sections","Counter","2","6","58","0.75","5.2","SOIC-16
SOIC-20W
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC390A","NLV74HC390ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74HC390ADR2G","http://www.onsemi.com/pub/Collateral/MC74HC390A-D.PDF","Dual 4-Stage Binary Ripple Counter with ÷2 and ÷5 Sections","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Dual 4-Stage Binary Ripple Counter with &#247;2 and &#247;5 Sections","Counter","2","6","58","0.75","5.2","SOIC-16
SOIC-20W
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC4020A","MC74HC4020ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4020ADG","http://www.onsemi.com/pub/Collateral/MC74HC4020A-D.PDF","14-Stage Binary Ripple Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Stage Binary Ripple Counter","Counter","2","6","31","0.75","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC4020A","MC74HC4020ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4020ADR2G","http://www.onsemi.com/pub/Collateral/MC74HC4020A-D.PDF","14-Stage Binary Ripple Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Stage Binary Ripple Counter","Counter","2","6","31","0.75","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC4020A","MC74HC4020ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4020ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HC4020A-D.PDF","14-Stage Binary Ripple Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Stage Binary Ripple Counter","Counter","2","6","31","0.75","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC4020A","NLV74HC4020ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74HC4020ADR2G","http://www.onsemi.com/pub/Collateral/MC74HC4020A-D.PDF","14-Stage Binary Ripple Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Stage Binary Ripple Counter","Counter","2","6","31","0.75","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC4020A","NLV74HC4020ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74HC4020ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HC4020A-D.PDF","14-Stage Binary Ripple Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Stage Binary Ripple Counter","Counter","2","6","31","0.75","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC4060A","MC74HC4060ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4060ADG","http://www.onsemi.com/pub/Collateral/MC74HC4060A-D.PDF","14-Stage Binary Ripple Counter with Oscillator","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Stage Binary Ripple Counter with Oscillator","Counter","2","6","250","0.75","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC4060A","MC74HC4060ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4060ADR2G","http://www.onsemi.com/pub/Collateral/MC74HC4060A-D.PDF","14-Stage Binary Ripple Counter with Oscillator","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Stage Binary Ripple Counter with Oscillator","Counter","2","6","250","0.75","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC4060A","MC74HC4060ADTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4060ADTG","http://www.onsemi.com/pub/Collateral/MC74HC4060A-D.PDF","14-Stage Binary Ripple Counter with Oscillator","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Stage Binary Ripple Counter with Oscillator","Counter","2","6","250","0.75","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC4060A","MC74HC4060ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4060ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HC4060A-D.PDF","14-Stage Binary Ripple Counter with Oscillator","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Stage Binary Ripple Counter with Oscillator","Counter","2","6","250","0.75","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC4060A","NLV74HC4060ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74HC4060ADR2G","http://www.onsemi.com/pub/Collateral/MC74HC4060A-D.PDF","14-Stage Binary Ripple Counter with Oscillator","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Stage Binary Ripple Counter with Oscillator","Counter","2","6","250","0.75","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC74HC4060A","NLVHC4060ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLVHC4060ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HC4060A-D.PDF","14-Stage Binary Ripple Counter with Oscillator","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Stage Binary Ripple Counter with Oscillator","Counter","2","6","250","0.75","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","NCV1455","NCV1455BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV1455BDR2G","http://www.onsemi.com/pub/Collateral/MC1455-D.PDF","Timer Circuit","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Timer Circuit","Timer","4.5","16","125","0.625","200","SOIC-8"
