–æ∆¨–Õ∫≈, Datasheet, »›¡ø,Ω”ø⁄,∆µ¬ ,µÁ—π∑∂Œß,∑‚◊∞–Œ Ω,◊¥Ã¨ 
FM24C16A_CT,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file,16Kbit,IIC,1MHz,1.7V-5.5V,CT,M
FM24C16B,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C02B-04B-08B-16B_ds_eng.pdf&fileExt=file,16Kbit,IIC,1MHz,1.7V-3.6V,PD/SO/TS/DN/ST/MS,N
FM24C16D,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150414/FM24C16D‰∫ßÂìÅËØ¥Êòé‰π¶.doc&fileExt=file,16Kbit,IIC,1MHz,1.7V-5.5V,PD/SO/TS/UD/ST/MS,M
FM24C32A,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C32A_ds_eng.pdf&fileExt=file,32Kbit,IIC,1MHz,1.7V-5.5V,PD/SO/TS/DN/ST/MS/CT,M
FM24C64A,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/fm24c64a_ds_eng.pdf&fileExt=file,64Kbit,IIC,1MHz,1.7V-5.5V,PD/SO/TS/DN/ST/MS,N
FM24C64D,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file,64Kbit,IIC,1MHz,1.7V-5.5V,PD/SO/TS/UN/ST/MS/CT,M
FM24C128A,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C128A_ds_eng.pdf&fileExt=file,128Kbit,IIC,1MHz,1.7V-5.5V,PD/SO/TS/DN/ST/MS/CT,M
FM24C256A,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C256A_ds_eng.pdf&fileExt=file,256Kbit,IIC,1MHz,1.7V-5.5V,PD/SO/TS/DN/ST/MS/CT,M
FM24C512A,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C512A_ds_eng.pdf&fileExt=file,512Kbit,IIC,1MHz,1.7V-5.5V,PD/SO/TS/CT,N
FM24C512D,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM24C512D_ds_eng.pdf&fileExt=file,512Kbit,IIC,1MHz,1.7V-5.5V,PD/SO/TS/UD/CT,M
FM24C1024A,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C1024A_ds_eng.pdf&fileExt=file,1024Kbit,IIC,1MHz,1.7V-5.5V,PD/SO/TS/CSP,M
FM93C46A,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM93C46A-56A-66A_ds_eng.pdf&fileExt=file,1Kbit,Microwire,2MHz,1.7V-5.5V,PD/SO/TS/DN/ST/MS,M
FM93C56A,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM93C46A-56A-66A_ds_eng.pdf&fileExt=file,2Kbit,Microwire,2MHz,1.7V-5.5V,PD/SO/TS/DN/ST/MS,M
FM93C66A,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM93C46A-56A-66A_ds_eng.pdf&fileExt=file,4Kbit,Microwire,2MHz,1.7V-5.5V,PD/SO/TS/DN/ST/MS,M
FM25080,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file,8Kbit,SPI,20MHz,1.7V-5.5V,PD/ SO/ TS/ UD,S
FM25160,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file,16Kbit,SPI,20MHz,1.7V-5.5V,PD/ SO/ TS/ UD,S
FM25320,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file,32Kbit,SPI,20MHz,1.7V-5.5V,PD/SO/ TS/ UD,S
FM25640,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file,64Kbit,SPI,20MHz,1.7V-5.5V,PD/SO/TS/UD,M
FM25128,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM25128_ds_eng.pdf&fileExt=file,128Kbit,SPI,20MHz,1.7V-5.5V,PD/SO/TS/UD,M
FM25256,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM25256_ds_eng.pdf&fileExt=file,256Kbit,SPI,20MHz,1.7V-5.5V,PD/SO/TS/UD,M
FM25512,http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM25512_ds_eng.pdf&fileExt=file,512Kbit,SPI,20MHz,1.7V-5.5V,PD/SO/TS/UD,M
