"brand","Series","PartNo","DataSheet","DetailLink","Description","Interface","FlexRay  Standard","Recommended I MAX","Efficiency","Output","Range","Transducer frequency","Driver output","Memory","Detection","Sensitivity","Bandwidth","V BAT","V OUT","V SUPPLY","Protection","I SUPPLY","I PEAK","I  DC MAX","P(Motor) peak","P(Motor)max","V DD","V ER","Iq","RDS ON","ESD (kV)","Bitrate","Cranking Support","Package ","Status","Comment"
"elmos","Interface---FlexRay™","E981.57","http://www.elmos.com/fileadmin/2013/02_products/01_interface/06_flexray/e981-57_elmos_ds.pdf","http://www.elmos.com/english/products/interface/flexraytm-transceiver-and-active-star-device.html?tx_pmproductlist_productlist%5Bproduct%5D=98&tx_pmproductlist_productlist%5Baction%5D=showProduct&tx_pmproductlist_productlist%5Bcontroller%5D=Product&cHash=853ca84779b6d77e90ab5415a6c71404","FlexRay™ Active Star Device (StarLight, 2-Branch)"," ","EPL v3.0.1 "," "," "," "," "," "," "," "," "," "," ","7V to 18V  "," "," "," "," "," "," "," "," ","5V  "," ","65µA  "," ","6  ","up to 10 Mbit/s  "," ","QFN44L9 "," "," "
"elmos","Interface---FlexRay™","E981.55","http://www.elmos.com/fileadmin/2013/02_products/01_interface/06_flexray/e981-55_elmos_ds.pdf","http://www.elmos.com/english/products/interface/flexraytm-transceiver-and-active-star-device.html?tx_pmproductlist_productlist%5Bproduct%5D=88&tx_pmproductlist_productlist%5Baction%5D=showProduct&tx_pmproductlist_productlist%5Bcontroller%5D=Product&cHash=044fbf631135ad3ae9e214e087869d23","FlexRay™ Single Transceiver"," ","EPL v3.0.1 "," "," "," "," "," "," "," "," "," "," ","5.5V to 18V  "," "," "," "," "," "," "," "," ","5V  "," ","20µA  "," ","6  ","up to 10 Mbit/s  "," ","SSOP16 "," "," "
"elmos","Interface---FlexRay™","E910.54","http://www.elmos.com/fileadmin/2013/02_products/01_interface/06_flexray/e910-54_elmos_ds.pdf","http://www.elmos.com/english/products/interface/flexraytm-transceiver-and-active-star-device.html?tx_pmproductlist_productlist%5Bproduct%5D=2&tx_pmproductlist_productlist%5Baction%5D=showProduct&tx_pmproductlist_productlist%5Bcontroller%5D=Product&cHash=34e9c4b55a54b65a1ff3f73859600da5","Basic FlexRay™ Transceiver"," ","EPL v2.1 "," "," "," "," "," "," "," "," "," "," ","n/a  "," "," "," "," "," "," "," "," ","5V  "," ","n/a  "," ","8  ","up to 10 Mbit/s  "," ","TSSOP14 "," "," "
"elmos","Interface---FlexRay™","E981.56","http://www.elmos.com/fileadmin/2013/02_products/01_interface/06_flexray/e981-56_elmos_ds.pdf","http://www.elmos.com/english/products/interface/flexraytm-transceiver-and-active-star-device.html?tx_pmproductlist_productlist%5Bproduct%5D=40&tx_pmproductlist_productlist%5Baction%5D=showProduct&tx_pmproductlist_productlist%5Bcontroller%5D=Product&cHash=e54f0dac45b11097486449eddb92a9f8","FlexRay™ Active Star Device (4-Branch)"," ","EPL v3.0.1 "," "," "," "," "," "," "," "," "," "," ","7V to 18V  "," "," "," "," "," "," "," "," ","5V  "," ","65µA  "," ","6  ","up to 10 Mbit/s  "," ","QFN44L9 "," "," "
