"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Vcc","Feature","Frequency, MHz (Bus Width)","Packages","Temperature Range"
"mxic","NOR Flash-Serial NOR Flash","MX25L25735F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L25735F","http://www.macronix.com/Lists/Datasheet/Attachments/2824/MX25L25735F, 3V, 256Mb, v1.2.pdf","256Mb","Production","2.7V-3.6V","H/W Hold QPI Suspend/Resume Unique ID","133(x1, x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L25635E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L25635E","http://www.macronix.com/Lists/Datasheet/Attachments/2803/MX25L25635E, 3V, 256Mb, v1.3.pdf","256Mb","Production, not for new design","2.7V-3.6V","H/W Hold H/W Reset","80(x1) 70(x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L25655E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L25655E","-","256Mb","Production, not for new design","2.7V-3.6V","H/W Hold H/W Reset Permanent Lock","80(x1) 70(x2, x4)","300mil 16-SOP  6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Serial NOR Flash","MX25L25735E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L25735E","http://www.macronix.com/Lists/Datasheet/Attachments/2804/MX25L25735E, 3V, 256Mb, v1.2.pdf","256Mb","Production, not for new design","2.7V-3.6V","H/W Hold","80(x1) 70(x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L25835E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L25835E","http://www.macronix.com/Lists/Datasheet/Attachments/2799/MX25L25835E, 3V, 256Mb, v1.0.pdf","256Mb","EOL issued","2.7V-3.6V","H/W Hold H/W Reset","104(x1) 70(x2, x4)","300mil 16-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L25855E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L25855E","-","256Mb","EOL issued","2.7V-3.6V","Permanent Lock","86(x1) 70(x2, x4)","6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Serial NOR Flash","MX25L12835F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12835F","http://www.macronix.com/Lists/Datasheet/Attachments/2892/MX25L12835F, 3V, 128Mb, v1.5.pdf","128Mb","Production, for new design","2.7V-3.6V","H/W Reset QPI Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U12835F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U12835F","http://www.macronix.com/Lists/Datasheet/Attachments/2848/MX25U12835F, 1.8V, 128Mb, v1.4.pdf","128Mb","Production, for new design","1.65V-2V","H/W Reset QPI Suspend/Resume Unique ID","104(x1, x4) 84(x2) 133(x4)","300mil 16-SOP 6x5mm 8-WSON 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L12839F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12839F","http://www.macronix.com/Lists/Datasheet/Attachments/2828/MX25L12839F, 3V, 128Mb, v1.1.pdf","128Mb","Production","2.7V-3.6V","H/W Reset QPI Suspend/Resume Unique ID","133(x1, x4)","6x5mm 8-WSON","-25℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L12845G","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12845G","http://www.macronix.com/Lists/Datasheet/Attachments/2891/MX25L12845G, 3V, 128Mb, v1.0.pdf","128Mb","Production","2.7V-3.6V","DTR H/W Reset QPI Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
