"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Vcc","Feature","Frequency, MHz (Bus Width)","Packages","Temperature Range"
"mxic","NOR Flash-Serial NOR Flash","MX25L3239E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3239E","http://www.macronix.com/Lists/Datasheet/Attachments/2833/MX25L3239E, 3V, 32Mb, v1.3.pdf","32Mb","Production","2.7V-3.6V","H/W Hold QPI Suspend/Resume Unique ID","104(x1, x4)","200mil 8-SOP 200mil 8-VSOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L3255E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L3255E","-","32Mb","Production","2.7V-3.6V","H/W Hold Permanent Lock Unique ID","104(x1, x4) 86(x2)","200mil 8-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Serial NOR Flash","MX25L3273E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3273E","http://www.macronix.com/Lists/Datasheet/Attachments/2832/MX25L3273E, 3V, 32Mb, v1.1.pdf","32Mb","Production","2.7V-3.6V","Default 4 x I/O Unique ID","104(x1, x4) 86(x2)","200mil 8-SOP 200mil 8-VSOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L3273F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3273F","http://www.macronix.com/Lists/Datasheet/Attachments/2867/MX25L3273F, 3V, 32Mb, v1.0.pdf","32Mb","Production","2.65V-3.6V","Default 4 x I/O Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L3206E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3206E","http://www.macronix.com/Lists/Datasheet/Attachments/2838/MX25L3206E, 3V, 32Mb, v1.5.pdf","32Mb","Production, not for new design","2.7V-3.6V","H/W Hold","86(x1) 80(x2)","200mil 8-SOP 300mil 16-SOP 300mil 8-PDIP 4x4mm 8-USON 6x5mm 8-WSON 6x8mm 24-TFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L3225D","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3225D","http://www.macronix.com/Lists/Datasheet/Attachments/2767/MX25L3225D, 3V, 32Mb, v1.0.pdf","32Mb","Production, not for new design","2.7V-3.6V","-","104(x1) 75(x2, x4)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L3236D","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3236D","http://www.macronix.com/Lists/Datasheet/Attachments/2755/MX25L3236D, 3V, 32Mb, v1.3.pdf","32Mb","Production, not for new design","2.7V-3.6V","-","86(x1) 75(x2, x4)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L3237D","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3237D","http://www.macronix.com/Lists/Datasheet/Attachments/2768/MX25L3237D, 3V, 32Mb, v1.0.pdf","32Mb","Production, not for new design","2.7V-3.6V","-","86(x1) 75(x2, x4)","300mil 16-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L3275E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3275E","http://www.macronix.com/Lists/Datasheet/Attachments/2831/MX25L3275E, 3V, 32Mb, v1.2.pdf","32Mb","Production, not for new design","2.7V-3.6V","Default 4 x I/O H/W Hold","104(x1, x4) 86(x2)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U3235E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U3235E","http://www.macronix.com/Lists/Datasheet/Attachments/2839/MX25U3235E, 1.8V, 32Mb, v1.9.pdf","32Mb","Production, not for new design","1.65V-2V","QPI","104(x1, x4) 84(x2)","200mil 8-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25R1635F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R1635F","http://www.macronix.com/Lists/Datasheet/Attachments/2909/MX25R1635F, Wide Range, 16Mb, v1.2.pdf","16Mb","Production, for new design","1.65V-3.6V","H/W Hold H/W Reset Suspend/Resume Ultra Low Power Unique ID","80(x1, x2, x4)","150mil 8-SOP 200mil 8-SOP 2x3mm 8-USON 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U1635F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U1635F","http://www.macronix.com/Lists/Datasheet/Attachments/2882/MX25U1635F, 1.8V, 16Mb, v1.5.pdf","16Mb","Production, for new design","1.65V-2V","H/W Reset QPI Suspend/Resume Unique ID","104(x1, x4) 84(x2)","200mil 8-SOP 4x3mm 8-USON 4x4mm 8-USON 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25V1635F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25V1635F","http://www.macronix.com/Lists/Datasheet/Attachments/2906/MX25V1635F, 2.5V, 16Mb, v0.00.pdf","16Mb","Under Development","2.3V-3.6V","H/W Hold Suspend/Resume Unique ID","80(x1, x2, x4)","150mil 8-SOP 200mil 8-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L1606E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1606E","http://www.macronix.com/Lists/Datasheet/Attachments/2883/MX25L1606E, 3V, 16Mb, v1.8.pdf","16Mb","Production","2.7V-3.6V","H/W Hold Pin","86(x1) 80(x2)","150mil 8-SOP 200mil 8-SOP 300mil 16-SOP 300mil 8-PDIP 4x4mm 8-USON 6x5mm 8-WSON 6x8mm 24-TFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L1608E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1608E","http://www.macronix.com/Lists/Datasheet/Attachments/2860/MX25L1608E, 3V, 16Mb, v1.3.pdf","16Mb","Production","2.7V-3.6V","H/W Hold Unique ID","86(x1) 80(x2)","150mil 8-SOP 200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L1633E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1633E","http://www.macronix.com/Lists/Datasheet/Attachments/2840/MX25L1633E, 3V, 16Mb, v1.8.pdf","16Mb","Production","2.7V-3.6V","-","104(x1) 85(x2, x4)","200mil 8-SOP 4x4mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L1635E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1635E","http://www.macronix.com/Lists/Datasheet/Attachments/2820/MX25L1635E, 3V, 16Mb, v1.6.pdf","16Mb","Production","2.7V-3.6V","-","108(x1, x4) 80(x2)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L1636E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1636E","http://www.macronix.com/Lists/Datasheet/Attachments/2807/MX25L1636E, 3V, 16Mb, v1.3.pdf","16Mb","Production","2.7V-3.6V","-","133(x1, x2, x4)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L1655D","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L1655D","-","16Mb","Production","2.7V-3.6V","Permanent Lock","104(x1) 75(x2, x4)","200mil 8-SOP  6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Serial NOR Flash","MX25L1673E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1673E","http://www.macronix.com/Lists/Datasheet/Attachments/2847/MX25L1673E, 3V, 16Mb, v1.2.pdf","16Mb","Production","2.7V-3.6V","Default 4 x I/O Unique ID","104(x1) 85(x2, x4)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U1635E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U1635E","http://www.macronix.com/Lists/Datasheet/Attachments/2851/MX25U1635E, 1.8V, 16Mb, v2.0.pdf","16Mb","Production","1.65V-2V","QPI Suspend/Resume","104(x1, x4) 84(x2)","150mil 8-SOP 200mil 8-SOP 4x4mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L1675E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1675E","http://www.macronix.com/Lists/Datasheet/Attachments/2836/MX25L1675E, 3V, 16Mb, v1.2.pdf","16Mb","Production, not for new design","2.7V-3.6V","Default 4 x I/O","104(x1) 85(x2, x4)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L1636D","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1636D","http://www.macronix.com/Lists/Datasheet/Attachments/2756/MX25L1636D, 3V, 16Mb, v1.2.pdf","16Mb","EOL issued","2.7V-3.6V","-","86(x1) 75(x2, x4)","200mil 8-SOP 300mil 16-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25R8035F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R8035F","http://www.macronix.com/Lists/Datasheet/Attachments/2904/MX25R8035F, Wide Range, 8Mb, v1.1.pdf","8Mb","Production, for new design","1.65V-3.6V","H/W Hold H/W Reset Suspend/Resume Ultra Low Power Unique ID","104(x1, x2, x4)","150mil 8-SOP 200mil 8-SOP 2x3mm 8-USON 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25V8035F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25V8035F","http://www.macronix.com/Lists/Datasheet/Attachments/2907/MX25V8035F, 2.5V, 8Mb, v0.04.pdf","8Mb","Under Development","2.3V-3.6V","H/W Hold Suspend/Resume Unique ID","104(x1, x2, x4)","150mil 8-SOP 200mil 8-SOP 2x3mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L8006E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L8006E","http://www.macronix.com/Lists/Datasheet/Attachments/2864/MX25L8006E, 3V, 8Mb, v1.5.pdf","8Mb","Production","2.7V-3.6V","H/W Hold","86(x1) 80(x2)","150mil 8-SOP 200mil 8-SOP 300mil 8-PDIP 4x4mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L8008E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L8008E","http://www.macronix.com/Lists/Datasheet/Attachments/2866/MX25L8008E, 3V, 8Mb, v1.3.pdf","8Mb","Production","2.7V-3.6V","H/W Hold Unique ID","86(x1) 80(x2)","200mil 8-SOP 4x4mm 8-USON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L8035E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L8035E","http://www.macronix.com/Lists/Datasheet/Attachments/2858/MX25L8035E, 3V, 8Mb, v1.4.pdf","8Mb","Production","2.7V-3.6V","-","108(x1, x4) 80(x2)","150mil 8-SOP 200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L8036E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L8036E","http://www.macronix.com/Lists/Datasheet/Attachments/2806/MX25L8036E, 3V, 8Mb, v1.1.pdf","8Mb","Production","2.7V-3.6V","-","133(x1, x2, x4)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L8073E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L8073E","http://www.macronix.com/Lists/Datasheet/Attachments/2821/MX25L8073E, 3V, 8Mb, v1.0.pdf","8Mb","Production","2.7V-3.6V","Default 4 x I/O","108(x1, x4) 80(x2)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U8032E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U8032E","http://www.macronix.com/Lists/Datasheet/Attachments/2887/MX25U8032E, 1.8V, 8Mb, v1.4.pdf","8Mb","Production","1.65V-2V","-","80(x1, x2) 70(x4)","150mil 8-SOP 150mil 8-VSOP h:0.9mm","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U8033E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U8033E","http://www.macronix.com/Lists/Datasheet/Attachments/2857/MX25U8033E, 1.8V, 8Mb, v1.7.pdf","8Mb","Production","1.65V-2V","H/W Hold","80(x1, x2) 70(x4)","150mil 8-SOP 200mil 8-SOP 4x4mm 8-USON 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U8035E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U8035E","http://www.macronix.com/Lists/Datasheet/Attachments/2881/MX25U8035E, 1.8V, 8Mb, v1.7.pdf","8Mb","Production","1.65V-2V","QPI Suspend/Resume","104(x1, x4) 84(x2)","150mil 8-SOP 200mil 8-SOP 4x4mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25V8006E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25V8006E","http://www.macronix.com/Lists/Datasheet/Attachments/2871/MX25V8006E, 2.5V, 8Mb, v1.6.pdf","8Mb","Production","2.35V-3.6V","H/W Hold","75(x1) 70(x2)","150mil 8-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L8075E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L8075E","http://www.macronix.com/Lists/Datasheet/Attachments/2815/MX25L8075E, 3V, 8Mb, v1.1.pdf","8Mb","Production, not for new design","2.7V-3.6V","Default 4 x I/O","108(x1, x4) 80(x2)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U8035","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U8035","http://www.macronix.com/Lists/Datasheet/Attachments/2763/MX25U8035, 1.8V, 8Mb, v1.4.pdf","8Mb","EOL issued","1.65V-2V","-","40(x1, x2) 33(x4)","150mil 8-SOP 6x5mm 8-WSON 4x4mm 8-USON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25V8035","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25V8035","http://www.macronix.com/Lists/Datasheet/Attachments/2772/MX25V8035, 2.5V, 8Mb, v1.2.pdf","8Mb","EOL issued","2.25V-2.75V","H/W Hold H/W Reset","66(x1) 50(x2, x4)","150mil 8-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25R4035F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R4035F","http://www.macronix.com/Lists/Datasheet/Attachments/2901/MX25R4035F, Wide Range, 4Mb, v1.1.pdf","4Mb","Production, for new design","1.65V-3.6V","H/W Hold H/W Reset Suspend/Resume Ultra Low Power Unique ID","104(x1, x2, x4)","150mil 8-SOP 2x3mm 8-USON 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25V4035F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25V4035F","http://www.macronix.com/Lists/Datasheet/Attachments/2910/MX25V4035F, 2.5V, 4Mb, v0.00.pdf","4Mb","Under Development","2.3V-3.6V","H/W Hold Suspend/Resume Unique ID","104(x1, x2, x4)","150mil 8-SOP 173mil 8-TSSOP 200mil 8-SOP 2x3mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L4006E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L4006E","http://www.macronix.com/Lists/Datasheet/Attachments/2865/MX25L4006E, 3V, 4Mb, v1.6.pdf","4Mb","Production","2.7V-3.6V","H/W Hold","86(x1) 80(x2)","150mil 8-SOP 200mil 8-SOP 2x3mm 8-USON 300mil 8-PDIP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L4026E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L4026E","http://www.macronix.com/Lists/Datasheet/Attachments/2844/MX25L4026E, 3V, 4Mb, v1.3.pdf","4Mb","Production","2.7V-3.6V","H/W Hold","86(x1) 80(x2)","150mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U4032E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U4032E","http://www.macronix.com/Lists/Datasheet/Attachments/2886/MX25U4032E, 1.8V, 4Mb, v1.4.pdf","4Mb","Production","1.65V-2V","-","80(x1, x2) 70(x4)","150mil 8-SOP 150mil 8-VSOP h:0.9mm","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U4033E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U4033E","http://www.macronix.com/Lists/Datasheet/Attachments/2894/MX25U4033E, 1.8V, 4Mb, v1.8.pdf","4Mb","Production","1.65V-2V","H/W Hold","80(x1, x2) 70(x4)","150mil 8-SOP 4x3mm 8-USON 4x4mm 8-USON 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25V4006E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25V4006E","http://www.macronix.com/Lists/Datasheet/Attachments/2889/MX25V4006E, 2.5V, 4Mb, v1.8.pdf","4Mb","Production","2.35V-3.6V","H/W Hold","75(x1) 70(x2)","150mil 8-SOP 150mil 8-VSOP (0.9mm height) 2x3mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U4035","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U4035","http://www.macronix.com/Lists/Datasheet/Attachments/2762/MX25U4035, 1.8V, 4Mb, v1.4.pdf","4Mb","Production, not for new design","1.65V-2V","H/W Hold H/W Reset","40(x1, x2) 33(x4)","150mil 8-SOP  6x5mm 8-WSON  4x4mm 8-USON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25V4035","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25V4035","http://www.macronix.com/Lists/Datasheet/Attachments/2764/MX25V4035, 2.5V, 4Mb, v1.2.pdf","4Mb","EOL issued","2.25V-2.75V","H/W Hold H/W Reset","66(x1) 50(x2, x4)","150mil 8-SOP  6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25R2035F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R2035F","http://www.macronix.com/Lists/Datasheet/Attachments/2898/MX25R2035F, Wide Range, 2Mb, v1.1.pdf","2Mb","Production, for new design","1.65V-3.6V","H/W Hold H/W Reset Suspend/Resume Ultra Low Power Unique ID","104(x1, x2, x4)","150mil 8-SOP 173mil 8-TSSOP 2x3mm 8-USON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L2006E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L2006E","http://www.macronix.com/Lists/Datasheet/Attachments/2843/MX25L2006E, 3V, 2Mb, v1.5.pdf","2Mb","Production","2.7V-3.6V","H/W Hold","86(x1) 80(x2)","150mil 8-SOP 2x3mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L2026E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L2026E","http://www.macronix.com/Lists/Datasheet/Attachments/2842/MX25L2026E, 3V, 2Mb, v1.4.pdf","2Mb","Production","2.7V-3.6V","H/W Hold","86(x1) 80(x2)","150mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U2032E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U2032E","http://www.macronix.com/Lists/Datasheet/Attachments/2885/MX25U2032E, 1.8V, 2Mb, v1.3.pdf","2Mb","Production","1.65V-2V","H/W Hold","80(x1, x2) 70(x4)","150mil 8-SOP 150mil 8-VSOP h:0.9mm","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U2033E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U2033E","http://www.macronix.com/Lists/Datasheet/Attachments/2897/MX25U2033E, 1.8V, 2Mb, v1.5.pdf","2Mb","Production","1.65V-2V","H/W Hold","80(x1, x2) 70(x4)","150mil 8-SOP 4x3mm 8-USON 4x4mm 8-USON 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25V2006E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25V2006E","http://www.macronix.com/Lists/Datasheet/Attachments/2888/MX25V2006E, 2.5V, 2Mb, v1.7.pdf","2Mb","Production","2.35V-3.6V","H/W Hold","75(x1) 70(x2)","150mil 8-SOP 150mil 8-VSOP h:0.9mm 2x3mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L2026C","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L2026C","http://www.macronix.com/Lists/Datasheet/Attachments/2761/MX25L2026C, 3V, 2Mb, v1.1.pdf","2Mb","Production, not for new design","2.7V-3.6V","H/W Hold","85","150mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25R1035F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R1035F","http://www.macronix.com/Lists/Datasheet/Attachments/2899/MX25R1035F, Wide Range, 1Mb, v1.1.pdf","1Mb","Production, for new design","1.65V-3.6V","H/W Hold H/W Reset Suspend/Resume Ultra Low Power Unique ID","104(x1, x2, x4)","150mil 8-SOP 173mil 8-TSSOP 2x3mm 8-USON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U1001E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U1001E","http://www.macronix.com/Lists/Datasheet/Attachments/2853/MX25U1001E, 1.8V, 1Mb, v1.1.pdf","1Mb","Production, for new design","1.65V-2V","H/W Hold","70(x1, x2) 60(x4)","150mil 8-SOP 173mil 8-TSSOP 2x3mm 8-USON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L1006E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1006E","http://www.macronix.com/Lists/Datasheet/Attachments/2849/MX25L1006E, 3V, 1Mb, v1.4.pdf","1Mb","Production","2.7V-3.6V","H/W Hold","104(x1) 80(x2)","150mil 8-SOP 2x3mm 8-USON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L1021E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1021E","http://www.macronix.com/Lists/Datasheet/Attachments/2873/MX25L1021E, 3V, 1Mb, v1.3.pdf","1Mb","Production","2.7V-3.6V","-","45","150mil 8-SOP","0℃ to +70℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L1026E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1026E","http://www.macronix.com/Lists/Datasheet/Attachments/2834/MX25L1026E, 3V, 1Mb, v1.3.pdf","1Mb","Production","2.7V-3.6V","H/W Hold","104(x1) 80(x2)","150mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25V1006E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25V1006E","http://www.macronix.com/Lists/Datasheet/Attachments/2880/MX25V1006E, 2.5V, 1Mb, v1.4.pdf","1Mb","Production","2.35V-3.6V","H/W Hold","75(x1) 70(x2)","150mil 8-SOP 173mil 8-TSSOP 2x3mm 8-USON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25R512F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R512F","http://www.macronix.com/Lists/Datasheet/Attachments/2900/MX25R512F, Wide Range, 512Kb, v1.1.pdf","512Kb","Production, for new design","1.65V-3.6V","H/W Hold H/W Reset Suspend/Resume Ultra Low Power Unique ID","104(x1, x2, x4)","150mil 8-SOP 173mil 8-TSSOP 2x3mm 8-USON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U5121E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U5121E","http://www.macronix.com/Lists/Datasheet/Attachments/2854/MX25U5121E, 1.8V, 512Kb, v1.1.pdf","512Kb","Production, for new design","1.65V-2V","H/W Hold","70(x1, x2) 60(x4)","150mil 8-SOP 173mil 8-TSSOP 2x3mm 8-USON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L5121E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L5121E","http://www.macronix.com/Lists/Datasheet/Attachments/2874/MX25L5121E, 3V, 512Kb, v1.3.pdf","512Kb","Production","2.7V-3.6V","-","45","150mil 8-SOP 173mil 8-TSSOP 2x3mm 8-USON","0℃ to +70℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L512E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L512E","http://www.macronix.com/Lists/Datasheet/Attachments/2846/MX25L512E, 3V, 512Kb, v1.3.pdf","512Kb","Production","2.7V-3.6V","H/W Hold","104(x1) 80(x2)","150mil 8-SOP 173mil 8-TSSOP 2x3mm 8-USON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25V512E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25V512E","http://www.macronix.com/Lists/Datasheet/Attachments/2835/MX25V512E, 2.5V, 512Kb, v1.3.pdf","512Kb","Production","2.35V-3.6V","H/W Hold","75(x1) 70(x2)","150mil 8-SOP 173mil 8-TSSOP 2x3mm 8-USON","-40℃ to +85℃"," "
