"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Vcc","Cell Type","Page Size","ECC Requirement","Bus Width","Sequential Read Speed (ns)","Packages","Temperature Range"
"mxic","NAND Flash-SLC NAND","MX30UF2G18AC","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30UF2G18AC","http://www.macronix.com/Lists/Datasheet/Attachments/2685/MX30UF2G18AC, 1.8V, 2Gb, v1.0.pdf","2Gb","Production, for new design","1.7V-1.95V","SLC","2KB","4-bit ECC","x8","25","48-TSOP 48-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30LF2G28AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30LF2G28AB","http://www.macronix.com/Lists/Datasheet/Attachments/2672/MX30LF2G28AB, 3V, 2Gb, v1.2.pdf","2Gb","Production","2.7V-3.6V","SLC","2KB","8-bit ECC","x8","20","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30LF2GE8AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30LF2GE8AB","http://www.macronix.com/Lists/Datasheet/Attachments/2681/MX30LF2GE8AB, 3V, 2Gb, v1.1.pdf","2Gb","Production","2.7V-3.6V","SLC","2KB","ECC-free","x8","20","48-TSOP","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30UF2G16(18)AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30UF2G16(18)AB","http://www.macronix.com/Lists/Datasheet/Attachments/2674/MX30UF2G16(18)AB, 1.8V, 2Gb, v1.2.pdf","2Gb","Production","1.7V-1.95V","SLC","2KB","4-bit ECC","x16","25","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30UF2G26(28)AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30UF2G26(28)AB","http://www.macronix.com/Lists/Datasheet/Attachments/2668/MX30UF2G26(28)AB, 1.8V, 2Gb, v1.0.pdf","2Gb","Production","1.7V-1.95V","SLC","2KB","8-bit ECC","x16","25","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30UF2GE8AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30UF2GE8AB","http://www.macronix.com/Lists/Datasheet/Attachments/2678/MX30UF2GE8AB, 1.8V, 2Gb, v1.0.pdf","2Gb","Production","1.7V-1.95V","SLC","2KB","ECC-free","x8","25","63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30LF1G18AC","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30LF1G18AC","http://www.macronix.com/Lists/Datasheet/Attachments/2683/MX30LF1G18AC, 3V, 1Gb, v1.1.pdf","1Gb","Production, for new design","2.7V-3.6V","SLC","2KB","4-bit ECC","x8","20","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30LF1G08AA","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30LF1G08AA","http://www.macronix.com/Lists/Datasheet/Attachments/2670/MX30LF1G08AA, 3V, 1Gb, v1.5.pdf","1Gb","Production","2.7V-3.6V","SLC","2KB","1-bit ECC","x8","30","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30LF1GE8AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30LF1GE8AB","http://www.macronix.com/Lists/Datasheet/Attachments/2680/MX30LF1GE8AB, 3V, 1Gb, v1.1.pdf","1Gb","Production","2.7V-3.6V","SLC","2KB","ECC-free","x8","20","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30UF1G16(18)AC","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30UF1G16(18)AC","http://www.macronix.com/Lists/Datasheet/Attachments/2677/MX30UF1G16(18)AC, 1.8V, 1Gb, v1.1.pdf","1Gb","Production","1.7V-1.95V","SLC","2KB","4-bit ECC","x16","25","48-TSOP 48-VFBGA 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30LF1208AA","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30LF1208AA","http://www.macronix.com/Lists/Datasheet/Attachments/2667/MX30LF1208AA, 3V, 512Mb, v1.3.pdf","512Mb","Production, for new design","2.7V-3.6V","SLC","2KB","1-bit ECC","x8","30","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
