"brand","Series","PartNo","DetailLink","dataSheet","电压范围","封装形式","专用芯片特点"
"fmsh","专用模拟电路---照明汽摩电子电路","FM2822","http://www.fmsh.com/e6853988-9ab0-271e-ffa4-7a89fe792ff8/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20140731/FM2822_ds_chs.pdf&fileExt=file","11--15V
","16脚DIP、SOP封装 ","可调光荧光灯电子整流器专用集成电路 ","16脚DIP、SOP封装
","可调光荧光灯电子整流器专用集成电路
","-","-"
"fmsh","专用模拟电路---照明汽摩电子电路","VG2043","http://www.fmsh.com/e6853988-9ab0-271e-ffa4-7a89fe792ff8/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20140731/VG2043_ds_chs.pdf&fileExt=file","9--15V ","8脚DIP、SOP封装 ","汽车闪光控制专用集成电路 ","8脚DIP、SOP封装
","汽车闪光控制专用集成电路
","-","-"
"fmsh","专用模拟电路---照明汽摩电子电路","FM2044","http://www.fmsh.com/e6853988-9ab0-271e-ffa4-7a89fe792ff8/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20140731/FM2044_ds_chs.pdf&fileExt=file","9--15V
","14脚SOP封装 ","高级汽车用双路输出闪光器芯片 ","14脚SOP封装
","高级汽车用双路输出闪光器芯片
","-","-"
"fmsh","专用模拟电路---照明汽摩电子电路","FM4213","http://www.fmsh.com/e6853988-9ab0-271e-ffa4-7a89fe792ff8/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20140731/FM4213_ds_chs.pdf&fileExt=file","9--9.5V
","14脚DIP封装 ","摩托车点火电路 ","14脚DIP封装
","摩托车点火电路
","-","-"
"fmsh","专用模拟电路---照明汽摩电子电路","VG497","http://www.fmsh.com/e6853988-9ab0-271e-ffa4-7a89fe792ff8/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20140731/FM497_ds_chs.pdf&fileExt=file","3.5--28V
","16脚DIP封装","霍尔型汽车点火电路 ","16脚DIP封装
","霍尔型汽车点火电路
","-","-"
"fmsh","专用模拟电路---照明汽摩电子电路","VG484","http://www.fmsh.com/e6853988-9ab0-271e-ffa4-7a89fe792ff8/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20140731/FM484_ds_chs.pdf&fileExt=file","6--28V
","16脚DIP封装","磁感应型汽车点火电路 ","16脚DIP封装
","磁感应型汽车点火电路
","-","-"
