"brand","Series","PartNo","DetailLink","dataSheet","容量","接口","频率","电压范围","封装形式","状态"
"fmsh","非挥发存储器---EEPROM","FM24C128A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C128A_ds_eng.pdf&fileExt=file","128Kbit
","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,DN,ST,MS,CT","M","-"
"fmsh","非挥发存储器---EEPROM","FM24C256A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C256A_ds_eng.pdf&fileExt=file","256Kbit
","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,DN,ST,MS,CT","M","-"
"fmsh","非挥发存储器---EEPROM","FM24C512A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C512A_ds_eng.pdf&fileExt=file","512Kbit
","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,CT","N","-"
"fmsh","非挥发存储器---EEPROM","FM24C512D","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM24C512D_ds_eng.pdf&fileExt=file","512Kbit
","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,UD,CT","M","-"
"fmsh","非挥发存储器---EEPROM","FM24C1024A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C1024A_ds_eng.pdf&fileExt=file","1024Kbit
","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,CSP","M","-"
"fmsh","非挥发存储器---EEPROM","FM93C46A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM93C46A-56A-66A_ds_eng.pdf&fileExt=file","1Kbit
","Microwire
","2MHz
","1.7V-5.5V
","PD,SO,TS,DN,ST,MS","M","-"
"fmsh","非挥发存储器---EEPROM","FM93C56A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM93C46A-56A-66A_ds_eng.pdf&fileExt=file","2Kbit
","Microwire
","2MHz
","1.7V-5.5V
","PD,SO,TS,DN,ST,MS","M","-"
"fmsh","非挥发存储器---EEPROM","FM93C66A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM93C46A-56A-66A_ds_eng.pdf&fileExt=file","4Kbit
","Microwire
","2MHz
","1.7V-5.5V
","PD,SO,TS,DN,ST,MS","M","-"
"fmsh","非挥发存储器---EEPROM","FM25080","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file","8Kbit
","SPI
","20MHz
","1.7V-5.5V
","PD, SO, TS, UD
","S
","-"
"fmsh","非挥发存储器---EEPROM","FM25160","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file","16Kbit
","SPI
","20MHz
","1.7V-5.5V
","PD, SO, TS, UD
","S
","-"
"fmsh","非挥发存储器---EEPROM","FM25320","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file","32Kbit
","SPI
","20MHz
","1.7V-5.5V
","PD,SO, TS, UD
","S
","-"
"fmsh","非挥发存储器---EEPROM","FM25640","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file","64Kbit
","SPI
","20MHz
","1.7V-5.5V
","PD,SO,TS,UD","M","-"
"fmsh","非挥发存储器---EEPROM","FM25128","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM25128_ds_eng.pdf&fileExt=file","128Kbit
","SPI
","20MHz
","1.7V-5.5V
","PD,SO,TS,UD","M","-"
"fmsh","非挥发存储器---EEPROM","FM25256","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM25256_ds_eng.pdf&fileExt=file","256Kbit
","SPI
","20MHz
","1.7V-5.5V
","PD,SO,TS,UD","M","-"
"fmsh","非挥发存储器---EEPROM","FM25512","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM25512_ds_eng.pdf&fileExt=file","512Kbit
","SPI
","20MHz
","1.7V-5.5V
","PD,SO,TS,UD","M","-"
