"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","Acc","Vdrop  (mV)","VOUT  1.2V","VOUT  1.5V","VOUT   1.8V","VOUT  2.0V","VOUT  2.5V","VOUT  2.7V","VOUT  2.85V","VOUT  2.8V","VOUT  3.0V","VOUT  3.3V","VOUT  3.5V","VOUT  5.0V","VOUT  Adj."
"exar","Power Management-Power Conversion-LDOs and Regulators-Voltage Regulators","SP7805","SP7805V2-L","http://www.exar.com/common/content/document.ashx?id=1032&languageid=1033&type=datasheet&part=sp7805","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/voltage-regulators/sp7805/","5 Volt 3-Terminal Voltage Regulator","1000","-","-","-","5%","-","-","-","-","-","-","-","-","-","-","-","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Voltage Regulators","SP7805","SP7805V2-L/TR","http://www.exar.com/common/content/document.ashx?id=1032&languageid=1033&type=datasheet&part=sp7805","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/voltage-regulators/sp7805/","5 Volt 3-Terminal Voltage Regulator","1000","-","-","-","5%","-","-","-","-","-","-","-","-","-","-","-","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Voltage Regulators","SP7805","SP7805V-L","http://www.exar.com/common/content/document.ashx?id=1032&languageid=1033&type=datasheet&part=sp7805","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/voltage-regulators/sp7805/","5 Volt 3-Terminal Voltage Regulator","1000","-","-","-","5%","-","-","-","-","-","-","-","-","-","-","-","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Voltage Regulators","SP78L05","SP78L05M3-L","http://www.exar.com/common/content/document.ashx?id=1030&languageid=1033&type=datasheet&part=sp78l05","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/voltage-regulators/sp78l05/","100mA Positive Voltage Regulator","100","-","-","-","5%","-","-","-","-","-","-","-","-","-","-","-","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Voltage Regulators","SP78L05","SP78L05M3-L/TR","http://www.exar.com/common/content/document.ashx?id=1030&languageid=1033&type=datasheet&part=sp78l05","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/voltage-regulators/sp78l05/","100mA Positive Voltage Regulator","100","-","-","-","5%","-","-","-","-","-","-","-","-","-","-","-","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Voltage Regulators","SP78L05","SP78L05M4-L","http://www.exar.com/common/content/document.ashx?id=1030&languageid=1033&type=datasheet&part=sp78l05","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/voltage-regulators/sp78l05/","100mA Positive Voltage Regulator","100","-","-","-","5%","-","-","-","-","-","-","-","-","-","-","-","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Voltage Regulators","SP78L05","SP78L05M4-L/TR","http://www.exar.com/common/content/document.ashx?id=1030&languageid=1033&type=datasheet&part=sp78l05","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/voltage-regulators/sp78l05/","100mA Positive Voltage Regulator","100","-","-","-","5%","-","-","-","-","-","-","-","-","-","-","-","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Voltage Regulators","SP78L05","SP78L05N1-L","http://www.exar.com/common/content/document.ashx?id=1030&languageid=1033&type=datasheet&part=sp78l05","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/voltage-regulators/sp78l05/","100mA Positive Voltage Regulator","100","-","-","-","5%","-","-","-","-","-","-","-","-","-","-","-","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Voltage Regulators","SP78L05","SP78L05N1-L/TR","http://www.exar.com/common/content/document.ashx?id=1030&languageid=1033&type=datasheet&part=sp78l05","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/voltage-regulators/sp78l05/","100mA Positive Voltage Regulator","100","-","-","-","5%","-","-","-","-","-","-","-","-","-","-","-","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Voltage Regulators","SP78L05","SP78L05N-L","http://www.exar.com/common/content/document.ashx?id=1030&languageid=1033&type=datasheet&part=sp78l05","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/voltage-regulators/sp78l05/","100mA Positive Voltage Regulator","100","-","-","-","5%","-","-","-","-","-","-","-","-","-","-","-","-","▪","-"
