"brand","Series","PartNo","DetailLink","Crypto/Compression Performance    ","Public Key Performance (RSA Decrypt/Sign -1K Keys)  "
"exar","Data Compression-Networking Data Security & Compression-8200 Series","8204","http://www.exar.com/network-security/data-security-and-compression/8200-series/8200","6.4Gb/sec","13.9K Ops/sec"
"exar","Data Compression-Networking Data Security & Compression-8200 Series","8203","http://www.exar.com/network-security/data-security-and-compression/8200-series/8200","3.2Gb/sec","7.0K Ops/sec"
"exar","Data Compression-Networking Data Security & Compression-8200 Series","8202","http://www.exar.com/network-security/data-security-and-compression/8200-series/8200","1.6Gb/sec","3.5K Ops/sec"
"exar","Data Compression-Networking Data Security & Compression-8200 Series","8201","http://www.exar.com/network-security/data-security-and-compression/8200-series/8200","800Mb/sec","1.7K Ops/sec"
