"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","Acc","Vdrop  (mV)","VOUT  1.2V","VOUT  1.5V","VOUT   1.8V","VOUT  2.0V","VOUT  2.5V","VOUT  2.7V","VOUT  2.85V","VOUT  2.8V","VOUT  3.0V","VOUT  3.3V","VOUT  3.5V","VOUT  5.0V","VOUT  Adj."
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-L-5-0","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-L-5-0/TR","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501U5-1-8","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501U5-2-5","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501U5-3-3","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501U5-5-0","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501U5-L-1-8","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501U5-L-2-5","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501U5-L-3-3","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501U5-L-5-0","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","XRP29302","XRP29302AETB-L","http://www.exar.com/common/content/document.ashx?id=1604&languageid=1033&type=datasheet&part=xrp29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/xrp29302/","3A Low Dropout Voltage Regulator
","3000","2.25","16","40000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","XRP29302","XRP29302AETBTR-L","http://www.exar.com/common/content/document.ashx?id=1604&languageid=1033&type=datasheet&part=xrp29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/xrp29302/","3A Low Dropout Voltage Regulator
","3000","2.25","16","40000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","XRP29302","XRP29302ETB-L","http://www.exar.com/common/content/document.ashx?id=1604&languageid=1033&type=datasheet&part=xrp29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/xrp29302/","3A Low Dropout Voltage Regulator
","3000","2.25","16","40000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","XRP29302","XRP29302ETBTR-L","http://www.exar.com/common/content/document.ashx?id=1604&languageid=1033&type=datasheet&part=xrp29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/xrp29302/","3A Low Dropout Voltage Regulator
","3000","2.25","16","40000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","XRP29302","XRP29302ET-L","http://www.exar.com/common/content/document.ashx?id=1604&languageid=1033&type=datasheet&part=xrp29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/xrp29302/","3A Low Dropout Voltage Regulator
","3000","2.25","16","40000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
