"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","# of  Channels","Data  Rate(s)","Clk Rec","SH/  LH","Temp.  Range","Op  Pwr Sup/  Max Cur","Pkgs"
"exar","Communications---PDH-T1/E1-T1/E1 Framer Combos","XRT86SH328","XRT86SH328IB","http://www.exar.com/common/content/document.ashx?id=475&languageid=1033&type=datasheet&part=xrt86sh328","http://www.exar.com/communications/pdh/t1-e1/t1-e1-framer-combos/xrt86sh328/","Integrated 28-Channel T1/E1 LIU/Framer, VT/TU Mapper and M13 Multiplexer","28","DS1, E1, 1xSTS-1","▪","S","-","3.3V /1.8V","BGA-568"
"exar","Communications---PDH-T1/E1-T1/E1 Framer Combos","XRT86SH328","XRT86SH328IB-F","http://www.exar.com/common/content/document.ashx?id=475&languageid=1033&type=datasheet&part=xrt86sh328","http://www.exar.com/communications/pdh/t1-e1/t1-e1-framer-combos/xrt86sh328/","Integrated 28-Channel T1/E1 LIU/Framer, VT/TU Mapper and M13 Multiplexer","28","DS1, E1, 1xSTS-1","▪","S","-","3.3V /1.8V","BGA-568"
"exar","Communications---PDH-T1/E1-T1/E1 Framer Combos","XRT86VX38A","XRT86VX38AIB256","http://www.exar.com/common/content/document.ashx?id=21307&languageid=1033&type=datasheet&part=xrt86vx38a","http://www.exar.com/communications/pdh/t1-e1/t1-e1-framer-combos/xrt86vx38a/","Octal T1/E1/J1 Framer/LIU Combo","8","T1/E1/J1","▪","S/L","Ind","3.3V +/-5%","fpBGA–256, fpBGA–329"
"exar","Communications---PDH-T1/E1-T1/E1 Framer Combos","XRT86VX38A","XRT86VX38AIB329","http://www.exar.com/common/content/document.ashx?id=21307&languageid=1033&type=datasheet&part=xrt86vx38a","http://www.exar.com/communications/pdh/t1-e1/t1-e1-framer-combos/xrt86vx38a/","Octal T1/E1/J1 Framer/LIU Combo","8","T1/E1/J1","▪","S/L","Ind","3.3V +/-5%","fpBGA–256, fpBGA–329"
"exar","Communications---PDH-T1/E1-T1/E1 Framer Combos","XRT86VL30","XRT86VL30IV80-F","http://www.exar.com/common/content/document.ashx?id=1339&languageid=1033&type=datasheet&part=xrt86vl30","http://www.exar.com/communications/pdh/t1-e1/t1-e1-framer-combos/xrt86vl30/","T1/E1/J1 Bits Clock Recovery Element and Framer and Line Interface Combination featuring R³ Technology™","1","T1/E1/J1","▪","S/L","Ind.","3.3V +/-5%","TQFP-128 TQFP-80"
"exar","Communications---PDH-T1/E1-T1/E1 Framer Combos","XRT86VL30","XRT86VL30IV-F","http://www.exar.com/common/content/document.ashx?id=1339&languageid=1033&type=datasheet&part=xrt86vl30","http://www.exar.com/communications/pdh/t1-e1/t1-e1-framer-combos/xrt86vl30/","T1/E1/J1 Bits Clock Recovery Element and Framer and Line Interface Combination featuring R³ Technology™","1","T1/E1/J1","▪","S/L","Ind.","3.3V +/-5%","TQFP-128 TQFP-80"
"exar","Communications---PDH-T1/E1-T1/E1 Framer Combos","XRT86VL32","XRT86VL32IB","http://www.exar.com/common/content/document.ashx?id=953&languageid=1033&type=datasheet&part=xrt86vl32","http://www.exar.com/communications/pdh/t1-e1/t1-e1-framer-combos/xrt86vl32/","Dual T1/E1/J1 Framer and Line Interface Combination featuring R³ Technology™","2","T1/E1/J1","▪","S/L","Ind.","3.3V +/-5%","BGA-225"
"exar","Communications---PDH-T1/E1-T1/E1 Framer Combos","XRT86VL32","XRT86VL32IB-F","http://www.exar.com/common/content/document.ashx?id=953&languageid=1033&type=datasheet&part=xrt86vl32","http://www.exar.com/communications/pdh/t1-e1/t1-e1-framer-combos/xrt86vl32/","Dual T1/E1/J1 Framer and Line Interface Combination featuring R³ Technology™","2","T1/E1/J1","▪","S/L","Ind.","3.3V +/-5%","BGA-225"
"exar","Communications---PDH-T1/E1-T1/E1 Framer Combos","XRT86VL38","XRT86VL38IB","http://www.exar.com/common/content/document.ashx?id=953&languageid=1033&type=datasheet&part=xrt86vl38","http://www.exar.com/communications/pdh/t1-e1/t1-e1-framer-combos/xrt86vl38/","8-Channel T1/E1/J1 Framer and Line Interface Combination featuring R³ Technology™","8","T1/E1/J1","▪","S/L","Ind.","3.3V +/-5%","BGA-484"
"exar","Communications---PDH-T1/E1-T1/E1 Framer Combos","XRT86VL38","XRT86VL38IB484","http://www.exar.com/common/content/document.ashx?id=953&languageid=1033&type=datasheet&part=xrt86vl38","http://www.exar.com/communications/pdh/t1-e1/t1-e1-framer-combos/xrt86vl38/","8-Channel T1/E1/J1 Framer and Line Interface Combination featuring R³ Technology™","8","T1/E1/J1","▪","S/L","Ind.","3.3V +/-5%","BGA-484"
