"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","Outputs","Output  Current  (Amps/CH)","VIN  MIN.  (V)","VIN  MAX.  (V)","VOUT  MIN.  (V)","VOUT  MAX.  (V)","Freq  (kHz)","Efficiency (%)","X-Y  Dimension  (mm)","Z  Dimension  (mm)"
"exar","Power Management---Universal PMICs-Programmable Power Modules-Programmable Power Modules","XRP9711","XRP9711EVB-DEMO-1","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9711","http://www.exar.com/power-management/power-conversion/programmable-power/programmable-power-modules/xrp9711/","Dual 6A Programmable Power Module with Integrated Dual Switching Controller","2 + 2","6","3.0","22","0.6","5.5","(500-750)+(124-1230)","92","12x12","2.75"
"exar","Power Management---Universal PMICs-Programmable Power Modules-Programmable Power Modules","XRP9711","XRP9711EVB-DEMO-1-KIT","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9711","http://www.exar.com/power-management/power-conversion/programmable-power/programmable-power-modules/xrp9711/","Dual 6A Programmable Power Module with Integrated Dual Switching Controller","2 + 2","6","3.0","22","0.6","5.5","(500-750)+(124-1230)","92","12x12","2.75"
"exar","Power Management---Universal PMICs-Programmable Power Modules-Programmable Power Modules","XRP9711","XRP9711EVB-DEMO-1-KITA","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9711","http://www.exar.com/power-management/power-conversion/programmable-power/programmable-power-modules/xrp9711/","Dual 6A Programmable Power Module with Integrated Dual Switching Controller","2 + 2","6","3.0","22","0.6","5.5","(500-750)+(124-1230)","92","12x12","2.75"
"exar","Power Management---Universal PMICs-Programmable Power Modules-Programmable Power Modules","XRP9711","XRP9711EY-F","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9711","http://www.exar.com/power-management/power-conversion/programmable-power/programmable-power-modules/xrp9711/","Dual 6A Programmable Power Module with Integrated Dual Switching Controller","2 + 2","6","3.0","22","0.6","5.5","(500-750)+(124-1230)","92","12x12","2.75"
"exar","Power Management---Universal PMICs-Programmable Power Modules-Programmable Power Modules","XRP9710","XRP9710EVB-DEMO-1","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9710","http://www.exar.com/power-management/power-conversion/programmable-power/programmable-power-modules/xrp9710/","Dual 6A Programmable Power Modules","2","6","3.0","22","0.6","5.5","500-750","92","12x12","2.75"
"exar","Power Management---Universal PMICs-Programmable Power Modules-Programmable Power Modules","XRP9710","XRP9710EVB-DEMO-1-KIT","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9710","http://www.exar.com/power-management/power-conversion/programmable-power/programmable-power-modules/xrp9710/","Dual 6A Programmable Power Modules","2","6","3.0","22","0.6","5.5","500-750","92","12x12","2.75"
"exar","Power Management---Universal PMICs-Programmable Power Modules-Programmable Power Modules","XRP9710","XRP9710EVB-DEMO-1-KITA","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9710","http://www.exar.com/power-management/power-conversion/programmable-power/programmable-power-modules/xrp9710/","Dual 6A Programmable Power Modules","2","6","3.0","22","0.6","5.5","500-750","92","12x12","2.75"
"exar","Power Management---Universal PMICs-Programmable Power Modules-Programmable Power Modules","XRP9710","XRP9710EY-F","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9710","http://www.exar.com/power-management/power-conversion/programmable-power/programmable-power-modules/xrp9710/","Dual 6A Programmable Power Modules","2","6","3.0","22","0.6","5.5","500-750","92","12x12","2.75"
