"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","Res (Bits)","Spd","Max P  P Con.  (mW)","# of  Channels","Track/Hold","VREF","mP Bus  P=Parallel  S=Serial","3V Ver  Avail","Pkgs"
"exar","Connectivity---Data Converters-Analog-to-Digital Converters-Analog-to-Digital Converters","XRD64L43","XRD64L43AIV-F","http://www.exar.com/common/content/document.ashx?id=306&languageid=1033&type=datasheet&part=xrd64l43","http://www.exar.com/connectivity/data-converters/analog-to-digital-converters/xrd64l43/","Dual 10-Bit 40MSPS CMOS ADC","10","40-MSPS","225mW","2","▪","1 to 3V","10, P","▪","LQFP-64"
"exar","Connectivity---Data Converters-Analog-to-Digital Converters-Analog-to-Digital Converters","XRD64L43","XRD64L43AIVTR-F","http://www.exar.com/common/content/document.ashx?id=306&languageid=1033&type=datasheet&part=xrd64l43","http://www.exar.com/connectivity/data-converters/analog-to-digital-converters/xrd64l43/","Dual 10-Bit 40MSPS CMOS ADC","10","40-MSPS","225mW","2","▪","1 to 3V","10, P","▪","LQFP-64"
