"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","# of  Channels","Gmin   (V/V)","BW @ Gmin   (MHz)","SR   (V/µs)","IS per ch   (mA)","IOUT (mA)","en   (nV/√Hz)","Vio Max  (±) (mV)","Min Vs   (V)","Max Vs   (V)"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1008","CLC1008ISO8","http://www.exar.com/common/content/document.ashx?id=21387&languageid=1033&type=datasheet&part=clc1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1008/","Single, 0.5mA, Low Cost, 2.5 to 5.5V, 75MHz Rail-to-Rail Amplifier
","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1008","CLC1008ISO8EVB","http://www.exar.com/common/content/document.ashx?id=21387&languageid=1033&type=datasheet&part=clc1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1008/","Single, 0.5mA, Low Cost, 2.5 to 5.5V, 75MHz Rail-to-Rail Amplifier
","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1008","CLC1008ISO8MTR","http://www.exar.com/common/content/document.ashx?id=21387&languageid=1033&type=datasheet&part=clc1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1008/","Single, 0.5mA, Low Cost, 2.5 to 5.5V, 75MHz Rail-to-Rail Amplifier
","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1008","CLC1008ISO8X","http://www.exar.com/common/content/document.ashx?id=21387&languageid=1033&type=datasheet&part=clc1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1008/","Single, 0.5mA, Low Cost, 2.5 to 5.5V, 75MHz Rail-to-Rail Amplifier
","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1008","CLC1008IST5EVB","http://www.exar.com/common/content/document.ashx?id=21387&languageid=1033&type=datasheet&part=clc1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1008/","Single, 0.5mA, Low Cost, 2.5 to 5.5V, 75MHz Rail-to-Rail Amplifier
","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1008","CLC1008IST5MTR","http://www.exar.com/common/content/document.ashx?id=21387&languageid=1033&type=datasheet&part=clc1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1008/","Single, 0.5mA, Low Cost, 2.5 to 5.5V, 75MHz Rail-to-Rail Amplifier
","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1008","CLC1008IST5X","http://www.exar.com/common/content/document.ashx?id=21387&languageid=1033&type=datasheet&part=clc1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1008/","Single, 0.5mA, Low Cost, 2.5 to 5.5V, 75MHz Rail-to-Rail Amplifier
","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR8054","XR8054ASO14EVB","http://www.exar.com/common/content/document.ashx?id=21340&languageid=1033&type=datasheet&part=xr8054","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr8054/","Quad, Low Cost, High Speed Rail-to-Rail Amplifier
","4","1","175","190","2.6","100","16","7","2.7","12.6"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR8054","XR8054ASO14MTR","http://www.exar.com/common/content/document.ashx?id=21340&languageid=1033&type=datasheet&part=xr8054","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr8054/","Quad, Low Cost, High Speed Rail-to-Rail Amplifier
","4","1","175","190","2.6","100","16","7","2.7","12.6"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR8054","XR8054ASO14X","http://www.exar.com/common/content/document.ashx?id=21340&languageid=1033&type=datasheet&part=xr8054","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr8054/","Quad, Low Cost, High Speed Rail-to-Rail Amplifier
","4","1","175","190","2.6","100","16","7","2.7","12.6"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR8054","XR8054ATP14EVB","http://www.exar.com/common/content/document.ashx?id=21340&languageid=1033&type=datasheet&part=xr8054","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr8054/","Quad, Low Cost, High Speed Rail-to-Rail Amplifier
","4","1","175","190","2.6","100","16","7","2.7","12.6"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR8054","XR8054ATP14MTR","http://www.exar.com/common/content/document.ashx?id=21340&languageid=1033&type=datasheet&part=xr8054","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr8054/","Quad, Low Cost, High Speed Rail-to-Rail Amplifier
","4","1","175","190","2.6","100","16","7","2.7","12.6"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR8054","XR8054ATP14X","http://www.exar.com/common/content/document.ashx?id=21340&languageid=1033&type=datasheet&part=xr8054","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr8054/","Quad, Low Cost, High Speed Rail-to-Rail Amplifier
","4","1","175","190","2.6","100","16","7","2.7","12.6"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1008","XR1008ISO8EVB","http://www.exar.com/common/content/document.ashx?id=21589&languageid=1033&type=datasheet&part=xr1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1008/","Single, 0.5mA, 75MHz Rail-to-Rail Amplifier","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1008","XR1008ISO8MTR","http://www.exar.com/common/content/document.ashx?id=21589&languageid=1033&type=datasheet&part=xr1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1008/","Single, 0.5mA, 75MHz Rail-to-Rail Amplifier","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1008","XR1008ISO8X","http://www.exar.com/common/content/document.ashx?id=21589&languageid=1033&type=datasheet&part=xr1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1008/","Single, 0.5mA, 75MHz Rail-to-Rail Amplifier","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1008","XR1008IST5EVB","http://www.exar.com/common/content/document.ashx?id=21589&languageid=1033&type=datasheet&part=xr1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1008/","Single, 0.5mA, 75MHz Rail-to-Rail Amplifier","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1008","XR1008IST5MTR","http://www.exar.com/common/content/document.ashx?id=21589&languageid=1033&type=datasheet&part=xr1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1008/","Single, 0.5mA, 75MHz Rail-to-Rail Amplifier","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1008","XR1008IST5X","http://www.exar.com/common/content/document.ashx?id=21589&languageid=1033&type=datasheet&part=xr1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1008/","Single, 0.5mA, 75MHz Rail-to-Rail Amplifier","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009ISO8EVB","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009ISO8MTR","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009ISO8X","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009IST5EVB","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009IST5MTR","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009IST5X","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1605","CLC1605IST5EVB","http://www.exar.com/common/content/document.ashx?id=21394&languageid=1033&type=datasheet&part=clc1605","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1605/","1.5GHz, 2,500V/µs Current Feedback Amplifier","1","1","1500","2500","12","120","3.7","10","4.5","12"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1605","CLC1605IST5MTR","http://www.exar.com/common/content/document.ashx?id=21394&languageid=1033&type=datasheet&part=clc1605","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1605/","1.5GHz, 2,500V/µs Current Feedback Amplifier","1","1","1500","2500","12","120","3.7","10","4.5","12"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1605","CLC1605IST5X","http://www.exar.com/common/content/document.ashx?id=21394&languageid=1033&type=datasheet&part=clc1605","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1605/","1.5GHz, 2,500V/µs Current Feedback Amplifier","1","1","1500","2500","12","120","3.7","10","4.5","12"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1050","CLC1050IST5EVB","http://www.exar.com/common/content/document.ashx?id=21391&languageid=1033&type=datasheet&part=clc1050","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1050/","Low Power, 3V to 36V Amplifier
","1","1","0.33","0.285","0.65","40","40","5","3","36"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1050","CLC1050IST5X","http://www.exar.com/common/content/document.ashx?id=21391&languageid=1033&type=datasheet&part=clc1050","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1050/","Low Power, 3V to 36V Amplifier
","1","1","0.33","0.285","0.65","40","40","5","3","36"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1606","CLC1606ISO8EVB","http://www.exar.com/common/content/document.ashx?id=21395&languageid=1033&type=datasheet&part=clc1606","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1606/","1.3GHz Current Feedback Amplifier
","1","1","1300","3300","7.5","120","3","10","4.5","12"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1606","CLC1606ISO8MTR","http://www.exar.com/common/content/document.ashx?id=21395&languageid=1033&type=datasheet&part=clc1606","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1606/","1.3GHz Current Feedback Amplifier
","1","1","1300","3300","7.5","120","3","10","4.5","12"
"exar","High Performance Analog---Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","CLC1606","CLC1606ISO8X","http://www.exar.com/common/content/document.ashx?id=21395&languageid=1033&type=datasheet&part=clc1606","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/clc1606/","1.3GHz Current Feedback Amplifier
","1","1","1300","3300","7.5","120","3","10","4.5","12"
