"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","Arch","App","CH","VIN  MIN.  (V)","VIN  MAX.  (V)","Max  Series  LEDs","Freq","Vdrop  (mV)","Max  Current  per CH","Ctrl  Type"
"exar","Power Management---LED Lighting-Regulators-Step-down Regulators","XRP7613","XRP7613EVB","http://www.exar.com/common/content/document.ashx?id=21202&languageid=1033&type=datasheet&part=xrp7613","http://www.exar.com/power-management/led-lighting/regulators/step-down-regulators/xrp7613/","1.2A 36V Step Down High Brightness LED Driver","Step-down","High-Power LED","1","7","36","8","-","100","1.2A","-"
"exar","Power Management---LED Lighting-Regulators-Step-down Regulators","XRP7613","XRP7613IDBTR-F","http://www.exar.com/common/content/document.ashx?id=21202&languageid=1033&type=datasheet&part=xrp7613","http://www.exar.com/power-management/led-lighting/regulators/step-down-regulators/xrp7613/","1.2A 36V Step Down High Brightness LED Driver","Step-down","High-Power LED","1","7","36","8","-","100","1.2A","-"
