"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN  MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","VOUT  MIN.  (V)","VOUT  MAX.  (V)","Freq  (kHz)","Efficiency (%)"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EU-L","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EU-L/TR","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661UEB","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660CN","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660CN/TR","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660CN-L","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660CN-L/TR","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660CP","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660CP-L","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660CU","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660CU/TR","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660CU-L","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660CU-L/TR","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660EB","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660EN","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660EN/TR","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660EN-L","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660EN-L/TR","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660EP","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660EP-L","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660EU","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660EU/TR","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660EU-L","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6660","SP6660EU-L/TR","http://www.exar.com/common/content/document.ashx?id=719&languageid=1033&type=datasheet&part=sp6660","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6660/","200mA Charge Pump Inverter or Doubler","200","1.5","4.25","400","-4.3","-8","80","96"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP34063","SP34063AEN","http://www.exar.com/common/content/document.ashx?id=725&languageid=1033&type=datasheet&part=sp34063","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp34063/","1.5A Boost, Inverting Step-Up Regulator","-","3","36","4000","-","-","110","80"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP34063","SP34063AEN/TR","http://www.exar.com/common/content/document.ashx?id=725&languageid=1033&type=datasheet&part=sp34063","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp34063/","1.5A Boost, Inverting Step-Up Regulator","-","3","36","4000","-","-","110","80"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP34063","SP34063AEN-ES","http://www.exar.com/common/content/document.ashx?id=725&languageid=1033&type=datasheet&part=sp34063","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp34063/","1.5A Boost, Inverting Step-Up Regulator","-","3","36","4000","-","-","110","80"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP34063","SP34063AEN-L","http://www.exar.com/common/content/document.ashx?id=725&languageid=1033&type=datasheet&part=sp34063","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp34063/","1.5A Boost, Inverting Step-Up Regulator","-","3","36","4000","-","-","110","80"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP34063","SP34063AEN-L/TR","http://www.exar.com/common/content/document.ashx?id=725&languageid=1033&type=datasheet&part=sp34063","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp34063/","1.5A Boost, Inverting Step-Up Regulator","-","3","36","4000","-","-","110","80"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6648","SP6648EB","http://www.exar.com/common/content/document.ashx?id=729&languageid=1033&type=datasheet&part=sp6648","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6648/","High Efficiency Step-Up Regulator ","400","0.7","4.5","13","2.5","5.5","-","94"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6648","SP6648ER","http://www.exar.com/common/content/document.ashx?id=729&languageid=1033&type=datasheet&part=sp6648","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6648/","High Efficiency Step-Up Regulator ","400","0.7","4.5","13","2.5","5.5","-","94"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6648","SP6648ER/TR","http://www.exar.com/common/content/document.ashx?id=729&languageid=1033&type=datasheet&part=sp6648","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6648/","High Efficiency Step-Up Regulator ","400","0.7","4.5","13","2.5","5.5","-","94"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6648","SP6648ER-L","http://www.exar.com/common/content/document.ashx?id=729&languageid=1033&type=datasheet&part=sp6648","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6648/","High Efficiency Step-Up Regulator ","400","0.7","4.5","13","2.5","5.5","-","94"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6648","SP6648ER-L/TR","http://www.exar.com/common/content/document.ashx?id=729&languageid=1033&type=datasheet&part=sp6648","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6648/","High Efficiency Step-Up Regulator ","400","0.7","4.5","13","2.5","5.5","-","94"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6648","SP6648EU","http://www.exar.com/common/content/document.ashx?id=729&languageid=1033&type=datasheet&part=sp6648","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6648/","High Efficiency Step-Up Regulator ","400","0.7","4.5","13","2.5","5.5","-","94"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6648","SP6648EU/TR","http://www.exar.com/common/content/document.ashx?id=729&languageid=1033&type=datasheet&part=sp6648","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6648/","High Efficiency Step-Up Regulator ","400","0.7","4.5","13","2.5","5.5","-","94"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6648","SP6648EU-L","http://www.exar.com/common/content/document.ashx?id=729&languageid=1033&type=datasheet&part=sp6648","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6648/","High Efficiency Step-Up Regulator ","400","0.7","4.5","13","2.5","5.5","-","94"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6648","SP6648EU-L/TR","http://www.exar.com/common/content/document.ashx?id=729&languageid=1033&type=datasheet&part=sp6648","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6648/","High Efficiency Step-Up Regulator ","400","0.7","4.5","13","2.5","5.5","-","94"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6648","SP6648LEDEB","http://www.exar.com/common/content/document.ashx?id=729&languageid=1033&type=datasheet&part=sp6648","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6648/","High Efficiency Step-Up Regulator ","400","0.7","4.5","13","2.5","5.5","-","94"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6648","SP6648UEB","http://www.exar.com/common/content/document.ashx?id=729&languageid=1033&type=datasheet&part=sp6648","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6648/","High Efficiency Step-Up Regulator ","400","0.7","4.5","13","2.5","5.5","-","94"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6644","SP6644EU","http://www.exar.com/common/content/document.ashx?id=656&languageid=1033&type=datasheet&part=sp6644","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6644/","Single/Dual Alkaline Cell DC-DC Regulator","175","0.9","3.3","50","2","5.5","-","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6644","SP6644EU/TR","http://www.exar.com/common/content/document.ashx?id=656&languageid=1033&type=datasheet&part=sp6644","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6644/","Single/Dual Alkaline Cell DC-DC Regulator","175","0.9","3.3","50","2","5.5","-","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6644","SP6644EU-L","http://www.exar.com/common/content/document.ashx?id=656&languageid=1033&type=datasheet&part=sp6644","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6644/","Single/Dual Alkaline Cell DC-DC Regulator","175","0.9","3.3","50","2","5.5","-","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6644","SP6644EU-L/TR","http://www.exar.com/common/content/document.ashx?id=656&languageid=1033&type=datasheet&part=sp6644","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6644/","Single/Dual Alkaline Cell DC-DC Regulator","175","0.9","3.3","50","2","5.5","-","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6644","SP6644UEB","http://www.exar.com/common/content/document.ashx?id=656&languageid=1033&type=datasheet&part=sp6644","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6644/","Single/Dual Alkaline Cell DC-DC Regulator","175","0.9","3.3","50","2","5.5","-","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6641","SP6641AEK","http://www.exar.com/common/content/document.ashx?id=20805&languageid=1033&type=datasheet&part=sp6641","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6641/","500mA Alkaline DC/DC Boost Regulator","100","0.9","4.5","10","3.3","5","-","87"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6641","SP6641AEK/TR","http://www.exar.com/common/content/document.ashx?id=20805&languageid=1033&type=datasheet&part=sp6641","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6641/","500mA Alkaline DC/DC Boost Regulator","100","0.9","4.5","10","3.3","5","-","87"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6641","SP6641AEK-3-3","http://www.exar.com/common/content/document.ashx?id=20805&languageid=1033&type=datasheet&part=sp6641","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6641/","500mA Alkaline DC/DC Boost Regulator","100","0.9","4.5","10","3.3","5","-","87"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6641","SP6641AEK-3-3/TR","http://www.exar.com/common/content/document.ashx?id=20805&languageid=1033&type=datasheet&part=sp6641","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6641/","500mA Alkaline DC/DC Boost Regulator","100","0.9","4.5","10","3.3","5","-","87"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6641","SP6641AEK-5-0","http://www.exar.com/common/content/document.ashx?id=20805&languageid=1033&type=datasheet&part=sp6641","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6641/","500mA Alkaline DC/DC Boost Regulator","100","0.9","4.5","10","3.3","5","-","87"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6641","SP6641AEK-5-0/TR","http://www.exar.com/common/content/document.ashx?id=20805&languageid=1033&type=datasheet&part=sp6641","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6641/","500mA Alkaline DC/DC Boost Regulator","100","0.9","4.5","10","3.3","5","-","87"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6641","SP6641AEK-L-3-3","http://www.exar.com/common/content/document.ashx?id=20805&languageid=1033&type=datasheet&part=sp6641","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6641/","500mA Alkaline DC/DC Boost Regulator","100","0.9","4.5","10","3.3","5","-","87"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6641","SP6641AEK-L-3-3/TR","http://www.exar.com/common/content/document.ashx?id=20805&languageid=1033&type=datasheet&part=sp6641","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6641/","500mA Alkaline DC/DC Boost Regulator","100","0.9","4.5","10","3.3","5","-","87"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6641","SP6641AEK-L-5-0","http://www.exar.com/common/content/document.ashx?id=20805&languageid=1033&type=datasheet&part=sp6641","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6641/","500mA Alkaline DC/DC Boost Regulator","100","0.9","4.5","10","3.3","5","-","87"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6641","SP6641AEK-L-5-0/TR","http://www.exar.com/common/content/document.ashx?id=20805&languageid=1033&type=datasheet&part=sp6641","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6641/","500mA Alkaline DC/DC Boost Regulator","100","0.9","4.5","10","3.3","5","-","87"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6641","SP6641AKEB","http://www.exar.com/common/content/document.ashx?id=20805&languageid=1033&type=datasheet&part=sp6641","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6641/","500mA Alkaline DC/DC Boost Regulator","100","0.9","4.5","10","3.3","5","-","87"
