"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","CPU  Interface","Ethernet  MAC/PHY  (Mbps)","UART  CH","UART  Max Data Rate  (Mbps)","UART  Tx/RX FIFO  (Bytes)","Auto RS-485  Half-Duplex  Control","No. of  GPIOs  (Max)","I2C  Master","ESD  (USB)","Sup V","Pkgs"
"exar","Connectivity-UART & Bridging Solutions-USB Ethernet Bridges-USB Ethernet Bridges","XR22804","XR22804-0A-EVB","http://www.exar.com/common/content/document.ashx?id=21593&languageid=1033&type=datasheet&part=xr22804","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-ethernet-bridges/xr22804/","Hi-Speed USB to 10/100 Ethernet Bridge w/4-CH UARTs","USB 2.0","10/100","4","15","1024/1024","▪","32","▪","±15kV HBM","4.4 - 5.25","QFN-56"
"exar","Connectivity-UART & Bridging Solutions-USB Ethernet Bridges-USB Ethernet Bridges","XR22804","XR22804IL56-F","http://www.exar.com/common/content/document.ashx?id=21593&languageid=1033&type=datasheet&part=xr22804","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-ethernet-bridges/xr22804/","Hi-Speed USB to 10/100 Ethernet Bridge w/4-CH UARTs","USB 2.0","10/100","4","15","1024/1024","▪","32","▪","±15kV HBM","4.4 - 5.25","QFN-56"
"exar","Connectivity-UART & Bridging Solutions-USB Ethernet Bridges-USB Ethernet Bridges","XR22804","XR22804IL56TR-F","http://www.exar.com/common/content/document.ashx?id=21593&languageid=1033&type=datasheet&part=xr22804","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-ethernet-bridges/xr22804/","Hi-Speed USB to 10/100 Ethernet Bridge w/4-CH UARTs","USB 2.0","10/100","4","15","1024/1024","▪","32","▪","±15kV HBM","4.4 - 5.25","QFN-56"
"exar","Connectivity-UART & Bridging Solutions-USB Ethernet Bridges-USB Ethernet Bridges","XR22800","XR22800-0A-EVB","http://www.exar.com/common/content/document.ashx?id=21590&languageid=1033&type=datasheet&part=xr22800","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-ethernet-bridges/xr22800/","Hi-Speed USB to 10/100 Ethernet Bridge","USB 2.0","10/100","0","15","1024/1024","▪","8","▪","±15kV HBM","4.4 - 5.25","QFN-32"
"exar","Connectivity-UART & Bridging Solutions-USB Ethernet Bridges-USB Ethernet Bridges","XR22800","XR22800IL32-F","http://www.exar.com/common/content/document.ashx?id=21590&languageid=1033&type=datasheet&part=xr22800","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-ethernet-bridges/xr22800/","Hi-Speed USB to 10/100 Ethernet Bridge","USB 2.0","10/100","0","15","1024/1024","▪","8","▪","±15kV HBM","4.4 - 5.25","QFN-32"
"exar","Connectivity-UART & Bridging Solutions-USB Ethernet Bridges-USB Ethernet Bridges","XR22800","XR22800IL32TR-F","http://www.exar.com/common/content/document.ashx?id=21590&languageid=1033&type=datasheet&part=xr22800","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-ethernet-bridges/xr22800/","Hi-Speed USB to 10/100 Ethernet Bridge","USB 2.0","10/100","0","15","1024/1024","▪","8","▪","±15kV HBM","4.4 - 5.25","QFN-32"
"exar","Connectivity-UART & Bridging Solutions-USB Ethernet Bridges-USB Ethernet Bridges","XR22802","XR22802-0A-EVB","http://www.exar.com/common/content/document.ashx?id=21592&languageid=1033&type=datasheet&part=xr22802","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-ethernet-bridges/xr22802/","Hi-Speed USB to 10/100 Ethernet Bridge w/2-CH UARTs","USB 2.0","10/100","2","15","1024/1024","▪","32","▪","±15kV HBM","4.4 - 5.25","QFN-56"
"exar","Connectivity-UART & Bridging Solutions-USB Ethernet Bridges-USB Ethernet Bridges","XR22802","XR22802IL56-F","http://www.exar.com/common/content/document.ashx?id=21592&languageid=1033&type=datasheet&part=xr22802","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-ethernet-bridges/xr22802/","Hi-Speed USB to 10/100 Ethernet Bridge w/2-CH UARTs","USB 2.0","10/100","2","15","1024/1024","▪","32","▪","±15kV HBM","4.4 - 5.25","QFN-56"
"exar","Connectivity-UART & Bridging Solutions-USB Ethernet Bridges-USB Ethernet Bridges","XR22802","XR22802IL56TR-F","http://www.exar.com/common/content/document.ashx?id=21592&languageid=1033&type=datasheet&part=xr22802","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-ethernet-bridges/xr22802/","Hi-Speed USB to 10/100 Ethernet Bridge w/2-CH UARTs","USB 2.0","10/100","2","15","1024/1024","▪","32","▪","±15kV HBM","4.4 - 5.25","QFN-56"
"exar","Connectivity-UART & Bridging Solutions-USB Ethernet Bridges-USB Ethernet Bridges","XR22801","XR22801-0A-EVB","http://www.exar.com/common/content/document.ashx?id=21591&languageid=1033&type=datasheet&part=xr22801","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-ethernet-bridges/xr22801/","Hi-Speed USB to 10/100 Ethernet Bridge w/1-CH UART","USB 2.0","10/100","1","15","1024/1024","▪","8","▪","±15kV HBM","4.4 - 5.25","QFN-32"
"exar","Connectivity-UART & Bridging Solutions-USB Ethernet Bridges-USB Ethernet Bridges","XR22801","XR22801IL32-F","http://www.exar.com/common/content/document.ashx?id=21591&languageid=1033&type=datasheet&part=xr22801","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-ethernet-bridges/xr22801/","Hi-Speed USB to 10/100 Ethernet Bridge w/1-CH UART","USB 2.0","10/100","1","15","1024/1024","▪","8","▪","±15kV HBM","4.4 - 5.25","QFN-32"
