"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN  MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","Acc","Vdrop  (mV)","VOUT  1.2V","VOUT  1.5V","VOUT   1.8V","VOUT  2.0V","VOUT  2.5V","VOUT  2.7V","VOUT  2.85V","VOUT  2.8V","VOUT  3.0V","VOUT  3.3V","VOUT  3.5V","VOUT  5.0V","VOUT  Adj."
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX432","SPX432M-L","http://www.exar.com/common/content/document.ashx?id=686&languageid=1033&type=datasheet&part=spx432","http://www.exar.com/power-management/system-controls/voltage-references/spx432/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX432","SPX432M-L/TR","http://www.exar.com/common/content/document.ashx?id=686&languageid=1033&type=datasheet&part=spx432","http://www.exar.com/power-management/system-controls/voltage-references/spx432/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX432","SPX432N","http://www.exar.com/common/content/document.ashx?id=686&languageid=1033&type=datasheet&part=spx432","http://www.exar.com/power-management/system-controls/voltage-references/spx432/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX432","SPX432N/TR","http://www.exar.com/common/content/document.ashx?id=686&languageid=1033&type=datasheet&part=spx432","http://www.exar.com/power-management/system-controls/voltage-references/spx432/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX432","SPX432N-L","http://www.exar.com/common/content/document.ashx?id=686&languageid=1033&type=datasheet&part=spx432","http://www.exar.com/power-management/system-controls/voltage-references/spx432/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX432","SPX432N-L/TR","http://www.exar.com/common/content/document.ashx?id=686&languageid=1033&type=datasheet&part=spx432","http://www.exar.com/power-management/system-controls/voltage-references/spx432/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX432","SPX432S","http://www.exar.com/common/content/document.ashx?id=686&languageid=1033&type=datasheet&part=spx432","http://www.exar.com/power-management/system-controls/voltage-references/spx432/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX432","SPX432S/TR","http://www.exar.com/common/content/document.ashx?id=686&languageid=1033&type=datasheet&part=spx432","http://www.exar.com/power-management/system-controls/voltage-references/spx432/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX432","SPX432S-L","http://www.exar.com/common/content/document.ashx?id=686&languageid=1033&type=datasheet&part=spx432","http://www.exar.com/power-management/system-controls/voltage-references/spx432/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX432","SPX432S-L/TR","http://www.exar.com/common/content/document.ashx?id=686&languageid=1033&type=datasheet&part=spx432","http://www.exar.com/power-management/system-controls/voltage-references/spx432/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","XRP431L","XRP431LES5TRR3-F","http://www.exar.com/common/content/document.ashx?id=20391&languageid=1033&type=datasheet&part=xrp431l","http://www.exar.com/power-management/system-controls/voltage-references/xrp431l/","Precision Adjustable Shunt Regulator 
","100","-","18","0.15","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX431A","SPX431AM1-L/TR","http://www.exar.com/common/content/document.ashx?id=21292&languageid=1033&type=datasheet&part=spx431a","http://www.exar.com/power-management/system-controls/voltage-references/spx431a/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX431A","SPX431AN-L/TR","http://www.exar.com/common/content/document.ashx?id=21292&languageid=1033&type=datasheet&part=spx431a","http://www.exar.com/power-management/system-controls/voltage-references/spx431a/","Precision Adjustable Shunt Regulator 
","150","-","36","1000","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431AM","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431AM/TR","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431AM5","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
