"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","# of  Channels","Data  Rate(s)","Clk Rec","SH/  LH","Temp.  Range","Op  Pwr Sup/  Max Cur","Pkgs"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83VSH314","XRT83VSH314IB","http://www.exar.com/common/content/document.ashx?id=329&languageid=1033&type=datasheet&part=xrt83vsh314","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83vsh314/","14-Channel T1/E1/J1 Short-Haul Line Interface Unit","14","T1/E1/J1","▪","S","Ind.","3.3V/1.8V, 1A","PBGA-304"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83VSH314","XRT83VSH314IB-F","http://www.exar.com/common/content/document.ashx?id=329&languageid=1033&type=datasheet&part=xrt83vsh314","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83vsh314/","14-Channel T1/E1/J1 Short-Haul Line Interface Unit","14","T1/E1/J1","▪","S","Ind.","3.3V/1.8V, 1A","PBGA-304"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83VSH316","XRT83VSH316IB","http://www.exar.com/common/content/document.ashx?id=952&languageid=1033&type=datasheet&part=xrt83vsh316","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83vsh316/","16-Channel T1/E1/J1 Short-Haul Line Interface Unit","16","T1/E1/J1","▪","S","Ind.","3.3V/1.8V with 5V tolerant","STBGA-316"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83VSH316","XRT83VSH316IB-F","http://www.exar.com/common/content/document.ashx?id=952&languageid=1033&type=datasheet&part=xrt83vsh316","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83vsh316/","16-Channel T1/E1/J1 Short-Haul Line Interface Unit","16","T1/E1/J1","▪","S","Ind.","3.3V/1.8V with 5V tolerant","STBGA-316"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83SH38","XRT83SH38IB","http://www.exar.com/common/content/document.ashx?id=159&languageid=1033&type=datasheet&part=xrt83sh38","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83sh38/","8-Channel T1/E1/J1 Short-Haul Line Interface Unit with JA & CDR","8","T1/E1/J1","▪","S","Ind.","3.3V ±5%, TBD","BGA-225"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83SH38","XRT83SH38IB-F","http://www.exar.com/common/content/document.ashx?id=159&languageid=1033&type=datasheet&part=xrt83sh38","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83sh38/","8-Channel T1/E1/J1 Short-Haul Line Interface Unit with JA & CDR","8","T1/E1/J1","▪","S","Ind.","3.3V ±5%, TBD","BGA-225"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83VSH38","XRT83VSH38IB","http://www.exar.com/common/content/document.ashx?id=20148&languageid=1033&type=datasheet&part=xrt83vsh38","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83vsh38/","8-Channel T1/E1/J1 Short-Haul Line Interface Unit","8","T1/E1/J1","▪","S","Ind.","3.3V ±5%, TBD","BGA-225"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83VSH38","XRT83VSH38IB-F","http://www.exar.com/common/content/document.ashx?id=20148&languageid=1033&type=datasheet&part=xrt83vsh38","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83vsh38/","8-Channel T1/E1/J1 Short-Haul Line Interface Unit","8","T1/E1/J1","▪","S","Ind.","3.3V ±5%, TBD","BGA-225"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83SL314","XRT83SL314IB","http://www.exar.com/common/content/document.ashx?id=169&languageid=1033&type=datasheet&part=xrt83sl314","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83sl314/","14-Channel T1/E1/J1 Line Interface Unit with JA & CDR","14","T1/E1/J1","▪","S","Ind.","3.3V ±5%","BGA-304"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83SL314","XRT83SL314IB-L","http://www.exar.com/common/content/document.ashx?id=169&languageid=1033&type=datasheet&part=xrt83sl314","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83sl314/","14-Channel T1/E1/J1 Line Interface Unit with JA & CDR","14","T1/E1/J1","▪","S","Ind.","3.3V ±5%","BGA-304"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83SL34","XRT83SL34IV","http://www.exar.com/common/content/document.ashx?id=119&languageid=1033&type=datasheet&part=xrt83sl34","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83sl34/","Multi-Channel T1/E1/J1 Line Interface Unit (LIU) with JA & CDR
","4","T1/E1/J1","▪","S","Ind.","3.3V ±5%, TBD","TQFP-128"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83SL34","XRT83SL34IV-F","http://www.exar.com/common/content/document.ashx?id=119&languageid=1033&type=datasheet&part=xrt83sl34","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83sl34/","Multi-Channel T1/E1/J1 Line Interface Unit (LIU) with JA & CDR
","4","T1/E1/J1","▪","S","Ind.","3.3V ±5%, TBD","TQFP-128"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83SL34","XRT83SL34IV-SAI-F","http://www.exar.com/common/content/document.ashx?id=119&languageid=1033&type=datasheet&part=xrt83sl34","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83sl34/","Multi-Channel T1/E1/J1 Line Interface Unit (LIU) with JA & CDR
","4","T1/E1/J1","▪","S","Ind.","3.3V ±5%, TBD","TQFP-128"
"exar","Communications-PDH-T1/E1-T1/E1 LIUs","XRT83L34","XRT83L34IV","http://www.exar.com/common/content/document.ashx?id=376&languageid=1033&type=datasheet&part=xrt83l34","http://www.exar.com/communications/pdh/t1-e1/t1-e1-lius/xrt83l34/","4-Channel T1/E1/J1 Long-Haul, Short-Haul Line Interface Unit with JA & CDR","4","T1/E1/J1","▪","S/L","Ind.","3.3V ±5%, TBD","TQFP-128"
