"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","Arch","App","CH","IOUT (mA)","VIN  MIN.  (V)","VIN  MAX.  (V)","Max  Series  LEDs","Vdrop  (mV)","Max  Current  per CH","LED  Matching  Accuracy  (%) (Typ.)","Ctrl  Type","IQ  (µA)","VOUT  MIN.  (V)","VOUT  MAX.  (V)","Freq  (kHz)","Efficiency (%)"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6683","SP6683-03ER","http://www.exar.com/common/content/document.ashx?id=689&languageid=1033&type=datasheet&part=sp6683","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6683/","High Power LED Driver for Parallel Configuration","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","500","0.3","6.0","1200","90"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6683","SP6683-03ER/TR","http://www.exar.com/common/content/document.ashx?id=689&languageid=1033&type=datasheet&part=sp6683","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6683/","High Power LED Driver for Parallel Configuration","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","500","0.3","6.0","1200","90"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6683","SP6683-03ER-L","http://www.exar.com/common/content/document.ashx?id=689&languageid=1033&type=datasheet&part=sp6683","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6683/","High Power LED Driver for Parallel Configuration","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","500","0.3","6.0","1200","90"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6683","SP6683-03ER-L/TR","http://www.exar.com/common/content/document.ashx?id=689&languageid=1033&type=datasheet&part=sp6683","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6683/","High Power LED Driver for Parallel Configuration","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","500","0.3","6.0","1200","90"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6683","SP6683ER","http://www.exar.com/common/content/document.ashx?id=689&languageid=1033&type=datasheet&part=sp6683","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6683/","High Power LED Driver for Parallel Configuration","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","500","0.3","6.0","1200","90"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6683","SP6683ER/TR","http://www.exar.com/common/content/document.ashx?id=689&languageid=1033&type=datasheet&part=sp6683","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6683/","High Power LED Driver for Parallel Configuration","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","500","0.3","6.0","1200","90"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6683","SP6683ER-L","http://www.exar.com/common/content/document.ashx?id=689&languageid=1033&type=datasheet&part=sp6683","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6683/","High Power LED Driver for Parallel Configuration","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","500","0.3","6.0","1200","90"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6683","SP6683ER-L/TR","http://www.exar.com/common/content/document.ashx?id=689&languageid=1033&type=datasheet&part=sp6683","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6683/","High Power LED Driver for Parallel Configuration","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","500","0.3","6.0","1200","90"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6683","SP6683UEB","http://www.exar.com/common/content/document.ashx?id=689&languageid=1033&type=datasheet&part=sp6683","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6683/","High Power LED Driver for Parallel Configuration","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","500","0.3","6.0","1200","90"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6682","SP6682EB","http://www.exar.com/common/content/document.ashx?id=708&languageid=1033&type=datasheet&part=sp6682","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6682/","High Efficiency Charge Pump Regulator for White LEDs","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","1200","0.3","6.0","600","80"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6682","SP6682ER","http://www.exar.com/common/content/document.ashx?id=708&languageid=1033&type=datasheet&part=sp6682","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6682/","High Efficiency Charge Pump Regulator for White LEDs","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","1200","0.3","6.0","600","80"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6682","SP6682ER/TR","http://www.exar.com/common/content/document.ashx?id=708&languageid=1033&type=datasheet&part=sp6682","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6682/","High Efficiency Charge Pump Regulator for White LEDs","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","1200","0.3","6.0","600","80"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6682","SP6682ER-L","http://www.exar.com/common/content/document.ashx?id=708&languageid=1033&type=datasheet&part=sp6682","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6682/","High Efficiency Charge Pump Regulator for White LEDs","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","1200","0.3","6.0","600","80"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6682","SP6682ER-L/TR","http://www.exar.com/common/content/document.ashx?id=708&languageid=1033&type=datasheet&part=sp6682","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6682/","High Efficiency Charge Pump Regulator for White LEDs","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","1200","0.3","6.0","600","80"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6682","SP6682EU","http://www.exar.com/common/content/document.ashx?id=708&languageid=1033&type=datasheet&part=sp6682","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6682/","High Efficiency Charge Pump Regulator for White LEDs","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","1200","0.3","6.0","600","80"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6682","SP6682EU/TR","http://www.exar.com/common/content/document.ashx?id=708&languageid=1033&type=datasheet&part=sp6682","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6682/","High Efficiency Charge Pump Regulator for White LEDs","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","1200","0.3","6.0","600","80"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6682","SP6682EU-L","http://www.exar.com/common/content/document.ashx?id=708&languageid=1033&type=datasheet&part=sp6682","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6682/","High Efficiency Charge Pump Regulator for White LEDs","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","1200","0.3","6.0","600","80"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6682","SP6682EU-L/TR","http://www.exar.com/common/content/document.ashx?id=708&languageid=1033&type=datasheet&part=sp6682","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6682/","High Efficiency Charge Pump Regulator for White LEDs","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","1200","0.3","6.0","600","80"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6682","SP6682UEB","http://www.exar.com/common/content/document.ashx?id=708&languageid=1033&type=datasheet&part=sp6682","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6682/","High Efficiency Charge Pump Regulator for White LEDs","-","Backlight","1","200","2.7","5.5","-","-","-","-","-","1200","0.3","6.0","600","80"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6699","SP6699EB","http://www.exar.com/common/content/document.ashx?id=21575&languageid=1033&type=datasheet&part=sp6699","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6699/","Step-up White LED Converter","Boost","Backlight","1","-","2.5","16","8","n/a","-","n/a","TTL","4.2","-","30","-","84"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6699","SP6699EK-L","http://www.exar.com/common/content/document.ashx?id=21575&languageid=1033&type=datasheet&part=sp6699","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6699/","Step-up White LED Converter","Boost","Backlight","1","-","2.5","16","8","n/a","-","n/a","TTL","4.2","-","30","-","84"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP6699","SP6699EK-L/TR","http://www.exar.com/common/content/document.ashx?id=21575&languageid=1033&type=datasheet&part=sp6699","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp6699/","Step-up White LED Converter","Boost","Backlight","1","-","2.5","16","8","n/a","-","n/a","TTL","4.2","-","30","-","84"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP7648","SP7648EB","http://www.exar.com/common/content/document.ashx?id=693&languageid=1033&type=datasheet&part=sp7648","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp7648/","Ultra-low Quiescent Current, High Efficiency Boost Regulator","-","Flash","1","700","2.7","4.5","-","-","-","-","-","-","2.7","5.5","-","92"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP7648","SP7648ER","http://www.exar.com/common/content/document.ashx?id=693&languageid=1033&type=datasheet&part=sp7648","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp7648/","Ultra-low Quiescent Current, High Efficiency Boost Regulator","-","Flash","1","700","2.7","4.5","-","-","-","-","-","-","2.7","5.5","-","92"
"exar","Power Management---LED Lighting-Regulators-Step-up Regulators","SP7648","SP7648ER/TR","http://www.exar.com/common/content/document.ashx?id=693&languageid=1033&type=datasheet&part=sp7648","http://www.exar.com/power-management/led-lighting/regulators/step-up-regulators/sp7648/","Ultra-low Quiescent Current, High Efficiency Boost Regulator","-","Flash","1","700","2.7","4.5","-","-","-","-","-","-","2.7","5.5","-","92"
