"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN  MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","VOUT  MIN.  (V)","VOUT  MAX.  (V)","Freq  (kHz)","Efficiency (%)"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6654","SP6654EU-L","http://www.exar.com/common/content/document.ashx?id=776&languageid=1033&type=datasheet&part=sp6654","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6654/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6654","SP6654EU-L/TR","http://www.exar.com/common/content/document.ashx?id=776&languageid=1033&type=datasheet&part=sp6654","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6654/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6651","SP6651AEB","http://www.exar.com/common/content/document.ashx?id=768&languageid=1033&type=datasheet&part=sp6651","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6651/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6651","SP6651AER","http://www.exar.com/common/content/document.ashx?id=768&languageid=1033&type=datasheet&part=sp6651","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6651/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6651","SP6651AER/TR","http://www.exar.com/common/content/document.ashx?id=768&languageid=1033&type=datasheet&part=sp6651","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6651/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6651","SP6651AER-L","http://www.exar.com/common/content/document.ashx?id=768&languageid=1033&type=datasheet&part=sp6651","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6651/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6651","SP6651AER-L/TR","http://www.exar.com/common/content/document.ashx?id=768&languageid=1033&type=datasheet&part=sp6651","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6651/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6651","SP6651AEU","http://www.exar.com/common/content/document.ashx?id=768&languageid=1033&type=datasheet&part=sp6651","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6651/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6651","SP6651AEU/TR","http://www.exar.com/common/content/document.ashx?id=768&languageid=1033&type=datasheet&part=sp6651","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6651/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6651","SP6651AEU-L","http://www.exar.com/common/content/document.ashx?id=768&languageid=1033&type=datasheet&part=sp6651","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6651/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6651","SP6651AEU-L/TR","http://www.exar.com/common/content/document.ashx?id=768&languageid=1033&type=datasheet&part=sp6651","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6651/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6651","SP6651EB","http://www.exar.com/common/content/document.ashx?id=768&languageid=1033&type=datasheet&part=sp6651","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6651/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
