"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","CPU  Interface","No. of  GPIOs","Interrupt  Output Pin","Reset  Input Pin","Integrated  Level Shifters","Internal Pull-Up  Resistors Enabled  at Power-up","5V  Tol  Inputs","Sup V","Package Type"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1403","XRA1403IL24-F","http://www.exar.com/common/content/document.ashx?id=20785&languageid=1033&type=datasheet&part=xra1403","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1403/","16-Bit SPI GPIO Expander with Reset Input","SPI","16","▪","▪","-","-","▪","1.65V - 3.6V","QFN-24, TSSOP-24"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1403","XRA1403IL24TR-F","http://www.exar.com/common/content/document.ashx?id=20785&languageid=1033&type=datasheet&part=xra1403","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1403/","16-Bit SPI GPIO Expander with Reset Input","SPI","16","▪","▪","-","-","▪","1.65V - 3.6V","QFN-24, TSSOP-24"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1402","XRA1402IG16-0B-EB","http://www.exar.com/common/content/document.ashx?id=20778&languageid=1033&type=datasheet&part=xra1402","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1402/","8-Bit SPI GPIO Expander","SPI","8","▪","▪","-","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1402","XRA1402IG16-F","http://www.exar.com/common/content/document.ashx?id=20778&languageid=1033&type=datasheet&part=xra1402","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1402/","8-Bit SPI GPIO Expander","SPI","8","▪","▪","-","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1402","XRA1402IG16TR-F","http://www.exar.com/common/content/document.ashx?id=20778&languageid=1033&type=datasheet&part=xra1402","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1402/","8-Bit SPI GPIO Expander","SPI","8","▪","▪","-","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1402","XRA1402IL16-0B-EB","http://www.exar.com/common/content/document.ashx?id=20778&languageid=1033&type=datasheet&part=xra1402","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1402/","8-Bit SPI GPIO Expander","SPI","8","▪","▪","-","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1402","XRA1402IL16-F","http://www.exar.com/common/content/document.ashx?id=20778&languageid=1033&type=datasheet&part=xra1402","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1402/","8-Bit SPI GPIO Expander","SPI","8","▪","▪","-","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1402","XRA1402IL16TR-F","http://www.exar.com/common/content/document.ashx?id=20778&languageid=1033&type=datasheet&part=xra1402","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1402/","8-Bit SPI GPIO Expander","SPI","8","▪","▪","-","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1404","XRA1404IG16-0B-EB","http://www.exar.com/common/content/document.ashx?id=20779&languageid=1033&type=datasheet&part=xra1404","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1404/","8-Bit SPI GPIO Expander with Integrated Level Shifters","SPI","8","▪","-","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1404","XRA1404IG16-F","http://www.exar.com/common/content/document.ashx?id=20779&languageid=1033&type=datasheet&part=xra1404","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1404/","8-Bit SPI GPIO Expander with Integrated Level Shifters","SPI","8","▪","-","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1404","XRA1404IG16TR-F","http://www.exar.com/common/content/document.ashx?id=20779&languageid=1033&type=datasheet&part=xra1404","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1404/","8-Bit SPI GPIO Expander with Integrated Level Shifters","SPI","8","▪","-","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1404","XRA1404IL16-0B-EB","http://www.exar.com/common/content/document.ashx?id=20779&languageid=1033&type=datasheet&part=xra1404","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1404/","8-Bit SPI GPIO Expander with Integrated Level Shifters","SPI","8","▪","-","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1404","XRA1404IL16-F","http://www.exar.com/common/content/document.ashx?id=20779&languageid=1033&type=datasheet&part=xra1404","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1404/","8-Bit SPI GPIO Expander with Integrated Level Shifters","SPI","8","▪","-","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity---UART & Bridging Solutions-Bridging Solutions-SPI GPIO Expanders","XRA1404","XRA1404IL16TR-F","http://www.exar.com/common/content/document.ashx?id=20779&languageid=1033&type=datasheet&part=xra1404","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/spi-gpio-expanders/xra1404/","8-Bit SPI GPIO Expander with Integrated Level Shifters","SPI","8","▪","-","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
