brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","Isw Limit (A)","Type","Total Pout(Max) (W)","Efficiency (%)","THD+N (%)  @1W","PSRR (dB)","Grade","Package","Eval Board 4"
"mps","Class-D Audio---PWM Input Power Drivers---Dual Full-Bridge","MP8049S","http://www.monolithicpower.com/Products/Product-Detail?ProductID=81","http://new.zlgmcu.com/mps_datasheet/MP8049S.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=200","MP8049S","New","","26V, 5.5A Qual-Channel Half-Bridge / Dual-Channel Full-Bridge Power Amplifier","5.0","26.0","5.5","Stereo Full-Bridge","74.0","92.0","0.1","-70.0","Catalog","QFN5X5-40",""
"mps","Class-D Audio---PWM Input Power Drivers---Dual Full-Bridge","MP8060","http://www.monolithicpower.com/Products/Product-Detail?ProductID=82","http://new.zlgmcu.com/mps_datasheet/MP8060.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1709","MP8060","NRFND","Refer to MP8049S for New Designs","16V, 3.5A Qual-Channel Half-Bridge / Dual-Channel Full-Bridge Power Amplifier","4.5","16.0","3.5","Stereo Full-Bridge","32.0","","","","Catalog","QFN5X5-32L",""
"mps","Class-D Audio---PWM Input Power Drivers---Dual Full-Bridge","MP8048","http://www.monolithicpower.com/Products/Product-Detail?ProductID=79","http://new.zlgmcu.com/mps_datasheet/MP8048.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1710","MP8048","NRFND","Refer to MP8049S for New Designs","22V, 4A Quad-Channel Half-Bridge / Dual-Channel Full-Bridge Power Amplifier","7.5","22.0","4.0","Stereo Full-Bridge","60.0","","","","Catalog","QFN6X6-40",""
