brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VCC(Min)(V)","VCC (Max) (V)","Iq(Typ)(uA)","Threshold Voltage(Typ)(V)","Reset Threshold Accuracy(±%)","Delay Time(mS)","LDO_Iout (mA)","PSRR@1KHz(dB)","Vdropout(mV)","Package","Grade"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---Supervisory---Supervisory","MP2420","http://www.monolithicpower.com/Products/Product-Detail?ProductID=960","http://new.zlgmcu.com/mps_datasheet/MP2420.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4310","MP2420","New","","75V, 0.3A, Synchronous Step-Down Converter with Watchdog","4.5","75.0","0.02","4.2","4.3","","","","","TSSOP-16","Catalog"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---Supervisory---Supervisory","MPQ2420","http://www.monolithicpower.com/Products/Product-Detail?ProductID=957","http://new.zlgmcu.com/mps_datasheet/MPQ2420.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4297","MPQ2420","New","","Industrial Grade, 75V, 0.3A, Synchronous Step-Down Converter with Watchdog","4.5","75.0","0.02","4.2","4.3","","","","","TSSOP-16","Industrial"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---Supervisory---Supervisory","MPQ6400-AEC1","http://www.monolithicpower.com/Products/Product-Detail?ProductID=427","http://new.zlgmcu.com/mps_datasheet/MPQ6400-AEC1.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1549","MPQ6400-AEC1","Active","","low quiescent current programmable-delay supervisory circuit, Reset Voltage can be Preset or Adjustable","1.8","5.5","1.6","3.07","1.0","2.1-10000","","","","TSOT23-6,QFN6","Automotive"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---Supervisory---Supervisory","MPQ6400","http://www.monolithicpower.com/Products/Product-Detail?ProductID=426","http://new.zlgmcu.com/mps_datasheet/MPQ6400.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1012","MPQ6400","Active","","low quiescent current programmable-delay supervisory circuit, Reset Voltage can be Preset or Adjustable","1.8","5.5","1.6","3.07","1.0","2.1-10000","","","","TSOT23-6,QFN6","Industrial"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---Supervisory---Supervisory","MP6402","http://www.monolithicpower.com/Products/Product-Detail?ProductID=425","http://new.zlgmcu.com/mps_datasheet/MP6402.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1009","MP6402","Active","","Dual Channel, 500mA Linear Regulator with Integrated Reset Circuit","2.5","5.5","400.0","","3.0","Programmable","500.0","60.0","260(Io:500mA)","SOIC8E,TQFN3x3-8","Catalog"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---Supervisory---Supervisory","MP6400","http://www.monolithicpower.com/Products/Product-Detail?ProductID=423","http://new.zlgmcu.com/mps_datasheet/MP6400.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1003","MP6400","Active","","low quiescent current programmable-delay supervisory circuit, Reset Voltage can be Preset or Adjustable","1.8","6.0","1.6","0.4","1.0","2.1-10000","","","-","TSOT23-6,QFN6","Catalog"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---Supervisory---Supervisory","MP6401","http://www.monolithicpower.com/Products/Product-Detail?ProductID=424","http://new.zlgmcu.com/mps_datasheet/MP6401.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1006","MP6401","Active","","300mA LDO Linear Regulator with Integrated Reset Circuit","2.5","5.5","80.0","0.25","7.5","3.125-1580","300.0","57.0","114(Io:300mA)","TQFN3x3-8,TQFN2x2-6,TSOT23-6","Catalog"
