brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VAC (Min) (V)","VAC (Max) (V)","VOUT (Max) (V)","Open LED Protection","Type","POUT (Max) (W)","VFB(V)","Switching Freq (Max) (kHz)","Iq(mA)","Shutdown Current (uA)","Rds(on) (Ω)","Synchronous","Grade","Package"
"mps","LED Lighting & Illumination---AC-DC Isolated---PFC, No-Triac Dimming","MP4027","http://www.monolithicpower.com/Products/Product-Detail?ProductID=578","http://new.zlgmcu.com/mps_datasheet/MP4027.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1310","MP4027","Active","","High Performance, Primary Side Control, Offline LED Controller with Active PFC, NTC and PWM Dimming","85.0","265.0","","True","Flyback, Buck, Buck-boost","40.0","0.4","200.0","0.6","20.0","","","Catalog","FCTSOT23-8"
"mps","LED Lighting & Illumination---AC-DC Isolated---PFC, No-Triac Dimming","MP4026","http://www.monolithicpower.com/Products/Product-Detail?ProductID=577","http://new.zlgmcu.com/mps_datasheet/MP4026.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1306","MP4026","Active","","High Performance, Primary Side Control, Offline LED Controller with Active PFC","85.0","265.0","","True","Flyback, Buck-boost","40.0","0.4","200.0","0.6","20.0","","","Catalog","FCTSOT23-6"
"mps","LED Lighting & Illumination---AC-DC Isolated---PFC, No-Triac Dimming","MP4021A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=576","http://new.zlgmcu.com/mps_datasheet/MP4021A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1302","MP4021A","Active","","Primary Side Control Offline LED Controller with Active PFC","85.0","265.0","","True","Flyback","40.0","0.4","333.0","0.75","20.0","","","Catalog","SOIC8"
