brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","Regulated Outputs (#)","VIN (Min) (V)","VIN (Max) (V)","VOUT (Min) (V)","VOUT (Max) (V)","Isw Limit(Typ)(A)","Iq (Typ)(mA)","VFB(V)","Switching Freq(Max) (kHz)","Power Good","Soft Start","Input/output disconnect","Down mode","Special Features","Package","Grade"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Synchronous","MP3414A ","http://www.monolithicpower.com/Products/Product-Detail?ProductID=935","http://new.zlgmcu.com/mps_datasheet/MP3414A .pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4139","MP3414A ","Active","","3A, 1MHz, 22μA Iq, 5.5 VOUT Synchronous Step-Up Converter with Output Disconnect","1.0","1.8","5.5","2.0","5.5","3.6","0.022","0.6","1000.0","","Internal","True","True","OVP, Current Limiting","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Synchronous","MP3427","http://www.monolithicpower.com/Products/Product-Detail?ProductID=851","http://new.zlgmcu.com/mps_datasheet/MP3427.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3855","MP3427","New","","17A, 600kHz, 8V Input Range Synchronous Boost Converter","1.0","3.0","8.0","3.0","10.0","22.0","0.6","1.225","600.0","","External","","","Programmable UVLO","QFN3x4-22","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Synchronous","MP3428","http://www.monolithicpower.com/Products/Product-Detail?ProductID=852","http://new.zlgmcu.com/mps_datasheet/MP3428.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3858","MP3428","New","","17A, 600kHz, 20V Wide Input Range Synchronous Boost Converter","1.0","3.0","20.0","3.0","22.0","22.0","0.6","1.225","600.0","","External","","","Programmable UVLO","QFN3x4-22","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Synchronous","MP3428A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=941","http://new.zlgmcu.com/mps_datasheet/MP3428A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4249","MP3428A","New","","19A, 600kHz, 20V Synchronous Boost Converter with Input Disconnect Function","1.0","3.0","20.0","3.0","22.0","19.0","0.65","1.225","600.0","","External","True","","Programmable UVLO Output Disconnect","QFN3x4-22","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Synchronous","MP3422","http://www.monolithicpower.com/Products/Product-Detail?ProductID=760","http://new.zlgmcu.com/mps_datasheet/MP3422.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3255","MP3422","Active","","6.5A, 600kHz High Efficiency, Synchronous Step-Up Converter with Output Disconnect","1.0","1.9","5.5","2.5","5.5","6.5","0.043","0.807","600.0","","Internal","True","","Enable,Output Disconnect","QFN2x2-14","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Synchronous","MP3423","http://www.monolithicpower.com/Products/Product-Detail?ProductID=759","http://new.zlgmcu.com/mps_datasheet/MP3423.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3252","MP3423","Active","","9A, 600kHz High Efficiency, Synchronous Step-Up Converter with Output Disconnect","1.0","1.9","5.5","2.5","5.5","9.0","0.043","0.807","600.0","","Internal","True","","Enable,Output Disconnect","QFN2x2-14","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Synchronous","MP3421","http://www.monolithicpower.com/Products/Product-Detail?ProductID=870","http://new.zlgmcu.com/mps_datasheet/MP3421.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3921","MP3421","New","","5.5A, 600kHz High Efficiency, Synchronous Step-Up Converter with Output Disconnect","1.0","1.9","5.5","2.5","5.5","5.5","0.043","0.807","600.0","","Internal","True","","Enable,Output Disconnect","QFN2x2-14","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Synchronous","MP3418","http://www.monolithicpower.com/Products/Product-Detail?ProductID=382","http://new.zlgmcu.com/mps_datasheet/MP3418.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=911","MP3418","Active","","400mA, 1.2MHz, Synchronous, Step-up Converter with Output Disconnect","1.0","0.6","4.0","1.8","4.0","0.4","0.038","1.21","1200.0","","Internal","True","True","OVP,Current Limiting","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Synchronous","MP3414","http://www.monolithicpower.com/Products/Product-Detail?ProductID=381","http://new.zlgmcu.com/mps_datasheet/MP3414.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=908","MP3414","Active","","1.8A, 1MHz Synchronous, Step-up Converter with Output Disconnect","1.0","0.6","4.0","1.8","4.0","1.8","0.035","1.21","1000.0","","Internal","True","True","OVP,Current Limiting","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Synchronous","MP3120","http://www.monolithicpower.com/Products/Product-Detail?ProductID=379","http://new.zlgmcu.com/mps_datasheet/MP3120.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=902","MP3120","Active","","1.2A, 1.1MHz Synchronous Boost Converter with Output Disconnect","1.0","0.8","5.0","2.5","5.0","1.2","0.47","1.21","1050.0","","Internal","True","","Enable,Current Limiting,Output Disconnect","TSOT23-6","Catalog"
