brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","VOUT(V)","IOUT(A)","Channel Number","22kHzToneSignalGenerated","Switching Freq(Max) (kHz)","Power Good","Soft Start","Special Features","Package","Grade"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---LNB","MP8126","http://www.monolithicpower.com/Products/Product-Detail?ProductID=363","http://new.zlgmcu.com/mps_datasheet/MP8126.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=858","MP8126","Active","","Boost Converter with Internal Switch, Low-Noise LDO Output, Line Drop Compensation, Settable LDO Current Limit, Selectable Vout Compensation, Adjustable Output Soft Start, Direct 22KHz input","8.0","14.0","13,14,18,19","0.55","1.0","Internal","342.0","True","External","Line Drop Compensation,SCP,'DiSEqCTM1.x","TSSOP16,QFN4x4-24","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---LNB","MP8125","http://www.monolithicpower.com/Products/Product-Detail?ProductID=362","http://new.zlgmcu.com/mps_datasheet/MP8125.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=855","MP8125","Active","","8-14V, 550mA, LNB Power Supply and Control Voltage Regulator","8.0","14.0","13,14,18,19","0.55","1.0","Internal","352.0","True","External","Line Drop Compensation,SCP,'DiSEqCTM1.x","TSSOP16,QFN4x4-24","Catalog"
