brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","Ton(ns)","Toff(ns)","Channel","Rds(on) (Ω)","IOUT(max)(A)","Rds(on) Flatness (Ω)","EN Pin","Power Supply Current (Max) (uA)","Bandwidth (MHz)","Off-Isolation (dB)","Crosstalk (dB)","Grade","Package"
"mps","Precision Analog---Analog Switches","MP2736","http://www.monolithicpower.com/Products/Product-Detail?ProductID=494","http://new.zlgmcu.com/mps_datasheet/MP2736.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1158","MP2736","Active","","Low-Voltage 0.45Ω Dual SPDT Analog Switches","1.65","5.5","29.0","23.0","2.0","0.45","0.25","0.15","True","1.0","50.0","-70.0","-70.0","Catalog","QFN1.4x1.8-10"
"mps","Precision Analog---Analog Switches","MP2735","http://www.monolithicpower.com/Products/Product-Detail?ProductID=493","http://new.zlgmcu.com/mps_datasheet/MP2735.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1156","MP2735","Active","","Low-Voltage 0.45Ω Dual SPDT Analog Switches with a Channel Select Pin","1.65","5.5","29.0","23.0","2.0","0.45","0.25","0.15","","1.0","50.0","-70.0","-70.0","Catalog","QFN1.4x1.8-10"
