brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","Nom Output Voltage (±V)","Vpp (Max) (V)","Switch Resistance (Ω)","Output Regulation","Lamp Size  Per Device (Max) (in²)","Switching Freq (kHz)","Grade","Package","Typical LCD Screen Sizes"
"mps","Display Backlighting Power---Electroluminescent (EL) Drivers","MP3802","http://www.monolithicpower.com/Products/Product-Detail?ProductID=556","http://new.zlgmcu.com/mps_datasheet/MP3802.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1769","MP3802","Active","","240Vpp High Voltage EL Lamp Driver","1.8","5.5","120.0","240.0","9.0","","5.0","240.0","Catalog","MSOP8,QFN3x3-8","Small"
"mps","Display Backlighting Power---Electroluminescent (EL) Drivers","MP3801","http://www.monolithicpower.com/Products/Product-Detail?ProductID=555","http://new.zlgmcu.com/mps_datasheet/MP3801.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1292","MP3801","Active","","190Vpp High Voltage EL Lamp Driver","2.5","5.5","95.0","120.0","9.0","True","5.0","240.0","Catalog","MSOP8","Small"
