brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","VOUT (Max) (V)","Channels (#)","Isw Limit (A)","Channel Current (Max) (A)","LEDx ABS Voltage (V)","Switching Freq(Min) (kHz)","Switching Freq(Max) (kHz)","Topologies","Power MOSFET","Dimming (Output)","Other Features","Grade","Packages","Typical LCD Screen Sizes","Quisent Current (mA)","Shutdown Current (uA)","VFB(V)","Rds(on)(mΩ)"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3384L","http://www.monolithicpower.com/Products/Product-Detail?ProductID=535","http://new.zlgmcu.com/mps_datasheet/MP3384L.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1765","MP3384L","Active","","3V-25Vin, 50Vout, 4-Channel WLED Boost Converter","3.0","25.0","50.0","4.0","1.2","0.03","50.0","625.0","1250.0","Boost","Integrated","P-Dim","","Catalog","QFN3x3-16","1,2","1.8","2.0","0.6","500.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3388S","http://www.monolithicpower.com/Products/Product-Detail?ProductID=538","http://new.zlgmcu.com/mps_datasheet/MP3388S.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1247","MP3388S","Active","","4.5V-25Vin, 50Vout, 8-Channel Boost WLED Driver","4.5","25.0","50.0","8.0","2.0","0.03","50.0","625.0","1250.0","Boost","Integrated","P-Dim","Output/Input Disconnect","Catalog","QFN4x4-24","Medium (10"-29")","1.8","2.0","0.6","180.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP4700","http://www.monolithicpower.com/Products/Product-Detail?ProductID=554","http://new.zlgmcu.com/mps_datasheet/MP4700.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1290","MP4700","Active","","Low-side BCM Mode WLED Buck Controller","8.0","18.0","","1.0","","","","-999999.0","160.0","Buck","External","P-Dim","","Catalog","SOIC8","2,3,4","0.6","","0.3",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3394S","http://www.monolithicpower.com/Products/Product-Detail?ProductID=544","http://new.zlgmcu.com/mps_datasheet/MP3394S.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1263","MP3394S","New","","5V-28Vin, 4-Channel, 200mA/ch Boost WLED Controller","5.0","28.0","","4.0","","0.2","55.0","150.0","500.0","Boost","External","P-Dim","Cascade","Catalog","TSSOP16EP,SOIC16","2,3,4","4.0","2.0","0.35",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP4653","http://www.monolithicpower.com/Products/Product-Detail?ProductID=553","http://new.zlgmcu.com/mps_datasheet/MP4653.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1287","MP4653","Active","","Real LIPS CC/CV LLC LED Driver Controller with Audible Noise Ellimination","5.0","30.0","","1.0","","","","-999999.0","-999999.0","LIPS (LLC)","External","1,2","Output/Input Disconnect","Catalog","SOIC20","3,4","1.6","","0.2",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3301","http://www.monolithicpower.com/Products/Product-Detail?ProductID=525","http://new.zlgmcu.com/mps_datasheet/MP3301.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1551","MP3301","Active","","2.5V-6Vin, 36Vout, 700mA Boost WLED Driver","2.5","6.0","36.0","1.0","1.0","","","1300.0","1300.0","Boost","Integrated","1,2","","Catalog","TSOT23-5","Small (<10")","0.69","4.0","0.2","500.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3308","http://www.monolithicpower.com/Products/Product-Detail?ProductID=532","http://new.zlgmcu.com/mps_datasheet/MP3308.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1233","MP3308","Active","","3V-6Vin, 36Vout Boost WLED Driver with Dual PWM-in for CABC","3.0","6.0","36.0","1.0","1.3","","","2200.0","2200.0","Boost","Integrated","P-Dim","CABC","Catalog","QFN3x4-14","Small (<10")","0.86","25.0","0.2","400.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP4012","http://www.monolithicpower.com/Products/Product-Detail?ProductID=548","http://new.zlgmcu.com/mps_datasheet/MP4012.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1273","MP4012","NRFND","Refer to  MP4013","8V-55Vin Boost WLED Controller","8.0","55.0","","1.0","","","","115.0","580.0","Boost","External","1,2","","Catalog","SOIC16","3,4","","","1.25",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3391","http://www.monolithicpower.com/Products/Product-Detail?ProductID=541","http://new.zlgmcu.com/mps_datasheet/MP3391.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1254","MP3391","Active","","9V-35Vin, 8-Channel, 120mA/ch Boost WLED Controller","9.0","35.0","","8.0","","0.12","55.0","150.0","500.0","Boost","External","P-Dim","Output/Input Disconnect","Catalog","TSSOP28EP,SOIC28","2,3,4","3.5","2.0","0.45",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3310","http://www.monolithicpower.com/Products/Product-Detail?ProductID=533","http://new.zlgmcu.com/mps_datasheet/MP3310.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1236","MP3310","Active","","4.5V-25Vin, 50Vout, 1.3A Boost WLED driver","4.5","25.0","50.0","1.0","1.3","","","300.0","1200.0","Boost","Integrated","P-Dim","","Catalog","QFN3x3-10","1,2","1.0","1.0","0.5","300.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3302","http://www.monolithicpower.com/Products/Product-Detail?ProductID=526","http://new.zlgmcu.com/mps_datasheet/MP3302.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1224","MP3302","Active","","2.5V-6Vin, 36Vout, 1.3A Boost WLED Driver","2.5","6.0","36.0","1.0","1.33","","","1300.0","1300.0","Boost","Integrated","1,2","","Catalog","QFN2x3-8,TSOT23","Small (<10")","0.69","4.0","0.2","500.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3202","http://www.monolithicpower.com/Products/Product-Detail?ProductID=522","http://new.zlgmcu.com/mps_datasheet/MP3202.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1215","MP3202","Active","","2.5V-6Vin, 1.3A Boost WLED Driver","2.5","6.0","25.0","1.0","1.33","","","1300.0","1300.0","Boost","Integrated","P-Dim","","Catalog","TSOT23-6,QFN2x2-8","Small (<10")","0.69","0.1","0.104","500.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP4013","http://www.monolithicpower.com/Products/Product-Detail?ProductID=824","http://new.zlgmcu.com/mps_datasheet/MP4013.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3456","MP4013","New","","Advanced features Full Protection Boost WLED Control for Large Size LCD-TFT Panels","8.0","26.0","","1.0","","","","100.0","600.0","Boost","External","1,2","Inductor Short Protection","Catalog","SOIC16","3,4","1.1","","0.6",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3309L","http://www.monolithicpower.com/Products/Product-Detail?ProductID=822","http://new.zlgmcu.com/mps_datasheet/MP3309L.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3446","MP3309L","Active","","2.7V-5.5Vin, 1.5A, Synchronous Boost WLED Driver with 24V OVP","2.7","5.5","24.0","1.0","1.6","","","300.0","1200.0","Boost","Integrated","1,2","Sync Rectification, CABC","Catalog","QFN1.4x1.8-10","Small (<10")","0.42","1.0","0.2","300.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3307","http://www.monolithicpower.com/Products/Product-Detail?ProductID=963","http://new.zlgmcu.com/mps_datasheet/MP3307.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4321","MP3307","Active","","27-5.5Vin, up to 2.2MHz Boost WLED Driver for Automotive Infotainment LCD Panel Backlight","2.7","5.5","35.0","1.0","1.6","","","300.0","2200.0","Boost","Integrated","1,2","","Catalog","TSOT23-8","Small (<10")","0.44","1.0","0.2","0.3"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3312L ","http://www.monolithicpower.com/Products/Product-Detail?ProductID=937","http://new.zlgmcu.com/mps_datasheet/MP3312L .pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4147","MP3312L ","Active","","2.7-5.5Vin, 38Vout, 600KHz, Dual Channel Boost WLED Driver","2.5","5.5","38.0","2.0","1.8","0.03","40.0","600.0","600.0","Boost","Integrated","A-Dim","1-Wire","Catalog","WLCSP1.35x1.35-9","Small (<10")","1.0","1.0","0.24","200.0"
