brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","VOUT (Max) (V)","Channels (#)","Isw Limit (A)","Channel Current (Max) (A)","LEDx ABS Voltage (V)","Switching Freq(Min) (kHz)","Switching Freq(Max) (kHz)","Topologies","Power MOSFET","Dimming (Output)","Other Features","Grade","Packages","Typical LCD Screen Sizes","Quisent Current (mA)","Shutdown Current (uA)","VFB(V)","Rds(on)(mΩ)"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP4601","http://www.monolithicpower.com/Products/Product-Detail?ProductID=549","http://new.zlgmcu.com/mps_datasheet/MP4601.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1276","MP4601","Active","","Power-Leverage Buck-Boost WLED Driver","4.5","75.0","75.0","1.0","2.0","","","200.0","2000.0","Buck/Boost","Integrated","1,2","","Catalog","SOIC16","2,3","0.7","5.0","0.198","500.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP4652","http://www.monolithicpower.com/Products/Product-Detail?ProductID=552","http://new.zlgmcu.com/mps_datasheet/MP4652.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1285","MP4652","NRFND","Refer to MP4653.","Offline Half-Bridge / LLC WLED Controller Featuring Low BOM Cost and Transformer Audible Noise Reduction","9.0","30.0","","1.0","","","","20.0","150.0","LLC","External","P-Dim","Output/Input Disconnect","Catalog","SOIC16","3,4","1.5","1.0","0.6",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP4651","http://www.monolithicpower.com/Products/Product-Detail?ProductID=551","http://new.zlgmcu.com/mps_datasheet/MP4651.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1282","MP4651","NRFND","Refer to MP4653.","Offline Half-Bridge / LLC WLED Controller","9.0","30.0","","1.0","","","","20.0","150.0","LLC","External","P-Dim","","Catalog","SOIC16","3,4","1.5","1.0","0.6",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3399","http://www.monolithicpower.com/Products/Product-Detail?ProductID=540","http://new.zlgmcu.com/mps_datasheet/MP3399.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1251","MP3399","Active","","5V-28Vin, 12-Channel Boost WLED Controller With Daisy Chain Capability for 24-Channel","5.0","28.0","","12.0","","0.06","50.0","150.0","500.0","Boost","External","P-Dim","Cascade, Output/Input Disconnect","Catalog","TSSOP28EP,SOIC28","2,3,4","4.0","2.0","0.55",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3384","http://www.monolithicpower.com/Products/Product-Detail?ProductID=534","http://new.zlgmcu.com/mps_datasheet/MP3384.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1238","MP3384","NRFND","Refer to MP3384L.","4.5V-25Vin, 4-Channel WLED Boost Converter","4.5","25.0","50.0","4.0","1.3","0.03","50.0","625.0","1250.0","Boost","Integrated","P-Dim","","Catalog","QFN3x3-16","1,2","1.8","2.0","0.6","500.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3304B","http://www.monolithicpower.com/Products/Product-Detail?ProductID=528","http://new.zlgmcu.com/mps_datasheet/MP3304B.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1740","MP3304B","Active","","2.5V-6Vin, 26V OVP, 1.3A Boost WLED Driver","2.5","6.0","24.0","1.0","1.33","","","2200.0","2200.0","Boost","Integrated","P-Dim","","Catalog","QFN2x3-8","Small (<10")","0.69","1.0","0.2","400.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3389","http://www.monolithicpower.com/Products/Product-Detail?ProductID=539","http://new.zlgmcu.com/mps_datasheet/MP3389.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1248","MP3389","Active","","5V-28Vin, 12-Channel Boost WLED Controller","5.0","28.0","","12.0","","0.06","50.0","150.0","500.0","Boost","External","P-Dim","Output/Input Disconnect","Catalog","TSSOP28EP,SOIC28","2,3,4","4.0","2.0","0.55",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3304A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=527","http://new.zlgmcu.com/mps_datasheet/MP3304A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1738","MP3304A","Active","","2.5V-6Vin, 38V OVP, 1.3A, Boost WLED Driver","2.5","6.0","36.0","1.0","1.33","","","2200.0","2200.0","Boost","Integrated","P-Dim","","Catalog","QFN2x3-8","Small (<10")","0.69","1.0","0.2","400.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3388","http://www.monolithicpower.com/Products/Product-Detail?ProductID=537","http://new.zlgmcu.com/mps_datasheet/MP3388.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1243","MP3388","NRFND","Refer to MP3388S.","4.5V-25Vin, 50Vout, 8-Channel Boost WLED Driver","4.5","25.0","50.0","8.0","2.0","0.03","50.0","625.0","1250.0","Boost","Integrated","P-Dim","Output/Input Disconnect","Catalog","SOIC28, QFN4x4-24","Medium (10"-29")","1.8","2.0","0.6","180.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3386","http://www.monolithicpower.com/Products/Product-Detail?ProductID=536","http://new.zlgmcu.com/mps_datasheet/MP3386.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1240","MP3386","NRFND","Refer to MP3388S","4.5V-25Vin, 50Vout, 6-Channel Boost WLED Briver","4.5","25.0","50.0","6.0","2.0","0.03","50.0","625.0","1250.0","Boost","Integrated","P-Dim","Output/Input Disconnect","Catalog","QFN4x4-24,SOIC28","Medium (10"-29")","1.8","2.0","0.6","180.0"
