brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","Cells","Battery Charge Votlage (V)","Battery Type","VIN (Max) (V)","Charge Current (Max) (A)","Output Current @ BOOST Mode (A)","Switching Freq (kHz)","Special Features","Grade","Package","Prog. Charge Current (Max) (A)","Trickle Charge Threshold (V) (Vbatt_full=4.2V)","Recharge Threshold (V/cell) (Vbatt_full=4.2V)","Timer","Negative Temp Co-efficient Control (NTC)","Enableor SHDN","Internal LDO","Charge Status"
"mps","Battery Management---Power Bank Management","MP2636","http://www.monolithicpower.com/Products/Product-Detail?ProductID=788","http://new.zlgmcu.com/mps_datasheet/MP2636.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3331","MP2636","New","","3A Switch Mode Battery Charger with System Boost","4.5","1 cell","4.2/4.3/4.35","1,3","6.0","3.0","3.0","600","Power Path, BOOST-Mode, Synchronous","Catalog","QFN4x4-30","3.0","3.0","4.0","True","True","True","","True"
"mps","Battery Management---Power Bank Management","MP2637","http://www.monolithicpower.com/Products/Product-Detail?ProductID=786","http://new.zlgmcu.com/mps_datasheet/MP2637.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3326","MP2637","New","-","2.5A Single-Cell Switching Charger with Power-path and 2.4A System Boost Current","4.5","1 Cell","4.2/4.35","1,3","6.0","2.5","2.4","600","Power Path, BOOST-Mode, Synchronous","Catalog","QFN4x4-24","2.4","3.0","4.0","True","True","True","","True"
"mps","Battery Management---Power Bank Management","MP2635A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=482","http://new.zlgmcu.com/mps_datasheet/MP2635A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1126","MP2635A","Active","","2A single cell switching charger with power path management and 1A BOOST OTG","4.5","1 Cell","4.2/3.6","1,3","6.0","2.0","1.0","1200/600","Power Path,BOOST-Mode,Synchronous","Catalog","QFN4x4-24","","","","","","","",""
"mps","Battery Management---Power Bank Management","MP2633A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=481","http://new.zlgmcu.com/mps_datasheet/MP2633A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1702","MP2633A","Active","","1.5A single cell switching charger with power path management and 1A BOOST OTG","4.5","1 Cell","4.2/3.6","1,3","6.0","1.5","1.0","1200/600","Power Path,BOOST-Mode,Synchronous","Catalog","QFN4x4-24","","","","","","","",""
"mps","Battery Management---Power Bank Management","MP2635","http://www.monolithicpower.com/Products/Product-Detail?ProductID=480","http://new.zlgmcu.com/mps_datasheet/MP2635.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1124","MP2635","Active","","2A single cell switching charger with power path management and 1.5A BOOST OTG","4.5","1 Cell","4.2/3.6","1,3","6.0","2.0","1.5","1200/600","Power Path,BOOST-Mode,Synchronous","Catalog","QFN4x4-24","2.0","3.0","4.0","True","True","True","True","True"
"mps","Battery Management---Power Bank Management","MP2633","http://www.monolithicpower.com/Products/Product-Detail?ProductID=479","http://new.zlgmcu.com/mps_datasheet/MP2633.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1122","MP2633","Active","","1.5A single cell switching charger with power path management and 1.5A BOOST OTG","4.5","1 Cell","4.2/3.6","1,3","6.0","1.5","1.5","1200/600","Power Path,BOOST-Mode,Synchronous","Catalog","QFN4x4-24","1.5","3.0","4.0","True","True","True","True","True"
