brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Description","Efficiency Curve","Vin (Min) (V)","Vin (Max) (V)","Pout (W)","Isw Typ(A)","Topology","Iq (Typ)(mA)","Vfb(V)","Switching Freq(kHz)","Package","Note For Status"
"mps","DC-DC Power Conversion---Switching Regulators---Buck/Boost","MP28163","http://www.monolithicpower.com/Products/Product-Detail?ProductID=684","http://new.zlgmcu.com/mps_datasheet/MP28163.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2624","MP28163","New","High Efficiency Single Inductor Buck-Boost Converter with 2.9A Switches","","2.0","5.5","2.5","2.9","","0.07","0.496","1100.0","QFN10 ",""
"mps","DC-DC Power Conversion---Switching Regulators---Buck/Boost","MP2155","http://www.monolithicpower.com/Products/Product-Detail?ProductID=683","http://new.zlgmcu.com/mps_datasheet/MP2155.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2621","MP2155","New","High Efficiency Single Inductor Buck-Boost Converter with 2.2A Switches","","2.0","5.5","2.5","2.2","","0.08","0.496","1000.0","QFN10",""
