brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","Vs(Max)(V)","Vbus(Max)(V)","I_Release(A)","I_charge(A)","Iq (Typ)(mA)","Power Good","VFB(V)","Switching Freq(Max) (kHz)","Special Features","Package","Grade"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Energy Storage (Dying Gasp)","MP201","http://www.monolithicpower.com/Products/Product-Detail?ProductID=360","http://new.zlgmcu.com/mps_datasheet/MP201.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=850","MP201","Active","","Dying Gasp Storage and Release Control IC with flag indicator","4.5","18.0","32.0","18.0","2.5","0.26","0.25","","1.0","","","SOIC8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-up(Boost)---Energy Storage (Dying Gasp)","MP6302","http://www.monolithicpower.com/Products/Product-Detail?ProductID=361","http://new.zlgmcu.com/mps_datasheet/MP6302.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=853","MP6302","Active","","Energy Storage and Release Control IC with Indicators for Storage and Input Voltage","4.2","18.0","32.0","18.0","2.5","0.25","0.25","True","1.0","","Power Good (Input),Power Good (storage)","QFN2x3-10","Catalog"
