brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","VOUT (Min) (V)","VOUT (Max) (V)","Initial Accuracy (%)","Operating Current (Min) (mA)","Operating Current (Max) (mA)","Zout (Ω)","Grade","Package"
"mps","Precision Analog---Voltage Reference","MP8201","http://www.monolithicpower.com/Products/Product-Detail?ProductID=507","http://new.zlgmcu.com/mps_datasheet/MP8201.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1181","MP8201","Active","","1.0V Shunt Reference","1.2","12.0","1.2","10.0","0.5","0.06","20.0","1.0","Catalog","SOT23-3"
"mps","Precision Analog---Voltage Reference","MP8200","http://www.monolithicpower.com/Products/Product-Detail?ProductID=508","http://new.zlgmcu.com/mps_datasheet/MP8200.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1184","MP8200","Active","","1.0V Shunt Reference","1.0","12.0","1.0","1.0","1.0","0.1","10.0","0.5","Catalog","SOT23-3"
