brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","Isw Limit (A)","Type","Total Pout(Max) (W)","Efficiency (%)","THD+N (%)  @1W","PSRR (dB)","Grade","Package"
"mps","Class-D Audio---PWM Input Power Drivers---Full-Bridge","MP8046","http://www.monolithicpower.com/Products/Product-Detail?ProductID=85","http://new.zlgmcu.com/mps_datasheet/MP8046.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1711","MP8046","Active","","28V, 5A Dual-Channel Power Half-Bridge","7.5","28.0","5.0","Mono Full-Bridge","40.0","","","","Catalog","TSSOP20F"
"mps","Class-D Audio---PWM Input Power Drivers---Full-Bridge","MP8044","http://www.monolithicpower.com/Products/Product-Detail?ProductID=84","http://new.zlgmcu.com/mps_datasheet/MP8044.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=205","MP8044","Active","","22V, 4A Dual Channel Power Half-Bridge","7.5","22.0","4.0","mono Full-Bridge","30.0","90.0","0.09","","Catalog","TSSOP20E"
"mps","Class-D Audio---PWM Input Power Drivers---Full-Bridge","MP8042","http://www.monolithicpower.com/Products/Product-Detail?ProductID=83","http://new.zlgmcu.com/mps_datasheet/MP8042.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=202","MP8042","Active","","24V, 5A Dual-Channel Power Half-Bridge","7.5","24.0","5.0","Mono Full-Bridge","30.0","90.0","0.1","","Catalog","TSSOP20E"
