brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Description","VAC (Min) (V)","VAC (Max) (V)","VOUT (Max) (V)","Open LED Protection","Type","POUT (Max) (W)","VFB(V)","Switching Frequency (Max) (kHz)","Iq(mA)","Shutdown Current (uA)","Rds(on) (Ω)","Synchronous","Grade","Package","Note For Status"
"mps","LED Lighting & Illumination---AC-DC Non-Isolated---PFC, TRIAC Dimming","MP4056","http://www.monolithicpower.com/Products/Product-Detail?ProductID=843","http://new.zlgmcu.com/mps_datasheet/MP4056.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3523","MP4056","New","TRIAC Dimmable, Non-isolated, Offline LED Controller with Active PFC","85.0","265.0","","True","Buck-boost","50.0","0.4","200.0","0.8","0.22","","","Catalog","SOIC8,MSOP10,SOIC14",""
"mps","LED Lighting & Illumination---AC-DC Non-Isolated---PFC, TRIAC Dimming","MP4032-2","http://www.monolithicpower.com/Products/Product-Detail?ProductID=873","http://new.zlgmcu.com/mps_datasheet/MP4032-2.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3929","MP4032-2","New","TRIAC Dimmable, Non-isolated, Offline LED Controller with Active PFC","85.0","265.0","","True","Buck-boost","8.0","0.4","200.0","0.9","","6.5","","Catalog","SOIC8, MSOP10, SOIC14",""
