brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","Isw Limit (A)","Type","Total POUT(Max) (W)","Efficiency (%)","THD+N (%)  @1W","PSRR (dB)","Grade","Package"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7748S","http://www.monolithicpower.com/Products/Product-Detail?ProductID=67","http://new.zlgmcu.com/mps_datasheet/MP7748S.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=168","MP7748S","New","","2 x 30W Class-D Stereo Single Ended Audio Amplifier","9.5","36.0","5.5","Stereo SE","60.0","90.0","0.02","-59.0","Catalog","TSSOP28EP"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7770","http://www.monolithicpower.com/Products/Product-Detail?ProductID=68","http://new.zlgmcu.com/mps_datasheet/MP7770.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=170","MP7770","New","","2 x 45W Class-D Stereo Single Ended Audio Amplifier","9.5","36.0","8.5","Stereo SE","90.0","95.0","0.03","-60.0","Catalog","TSSOP28EP"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7705","http://www.monolithicpower.com/Products/Product-Detail?ProductID=57","http://new.zlgmcu.com/mps_datasheet/MP7705.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1708","MP7705","Active","","12V, 2x5W Class-D Stereo Single-Ended Audio Amplifier","9.5","12.0","4.0","Stereo SE","10.0","95.0","0.06","-60.0","Catalog","TSSOP20F"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7748","http://www.monolithicpower.com/Products/Product-Detail?ProductID=66","http://new.zlgmcu.com/mps_datasheet/MP7748.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=165","MP7748","NRFND","Refer to MP7748S for New Designs","2 x 20W Class-D Stereo Single Ended Audio Amplifier","9.5","36.0","4.5","Stereo SE","40.0","91.0","0.02","-59.0","Catalog","TSSOP28EP"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7747","http://www.monolithicpower.com/Products/Product-Detail?ProductID=63","http://new.zlgmcu.com/mps_datasheet/MP7747.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=156","MP7747","Active","","20W Class-D Mono Single Ended Audio Amplifer","9.5","36.0","4.5","Mono SE","20.0","91.0","0.02","-59.0","Catalog","QFN3x3-10"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7741","http://www.monolithicpower.com/Products/Product-Detail?ProductID=62","http://new.zlgmcu.com/mps_datasheet/MP7741.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=153","MP7741","Active","","10W Class-D Mono Single Ended Audio Amplifer","9.5","36.0","3.0","Mono SE","10.0","94.0","0.02","-59.0","Catalog","QFN3x3-10"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7740","http://www.monolithicpower.com/Products/Product-Detail?ProductID=61","http://new.zlgmcu.com/mps_datasheet/MP7740.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=150","MP7740","Active","","15W Class-D Mono Single Ended Audio Amplifer","9.5","36.0","4.5","Mono SE","15.0","90.0","0.018","-60.0","Catalog","SOIC8E"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7745","http://www.monolithicpower.com/Products/Product-Detail?ProductID=65","http://new.zlgmcu.com/mps_datasheet/MP7745.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=162","MP7745","Active","","2 x 20W Class-D Stereo Single Ended Audio Amplifer","9.5","26.0","4.5","Stereo SE","40.0","93.0","0.05","-59.0","Catalog","TSSOP20E"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7742","http://www.monolithicpower.com/Products/Product-Detail?ProductID=64","http://new.zlgmcu.com/mps_datasheet/MP7742.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=159","MP7742","Active","","2 x 15W Class-D Stereo Single Ended Audio Amplifer","9.5","28.0","4.5","Stereo SE","30.0","90.0","0.018","-58.0","Catalog","TSSOP20E"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7720","http://www.monolithicpower.com/Products/Product-Detail?ProductID=58","http://new.zlgmcu.com/mps_datasheet/MP7720.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=144","MP7720","Active","","20W Class-D Mono Single Ended Audio Amplifer","9.5","24.0","5.0","Mono SE","20.0","93.0","0.04","-60.0","Catalog","SOIC8E,PDIP8"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7722","http://www.monolithicpower.com/Products/Product-Detail?ProductID=60","http://new.zlgmcu.com/mps_datasheet/MP7722.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4110","MP7722","Active","","2 × 20W Class-D Stereo Single Ended Audio Amplifer","9.5","24.0","5.0","Stereo SE","40.0","93.0","0.06","-60.0","Catalog","TSSOP20E"
"mps","Class-D Audio---Analog Input---Single-Ended","MP7721","http://www.monolithicpower.com/Products/Product-Detail?ProductID=59","http://new.zlgmcu.com/mps_datasheet/MP7721.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1707","MP7721","Active","","2 x 10W Class-D Stereo Single-Ended Amplifier","9.5","24.0","4.0","Stereo SE","20.0","93.0","0.06","-60.0","Catalog","TSSOP20F"
