"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","Speed(ns)","Pkg(Pins)","Status","Models","Comment/ Previous rev."
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS65C256AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65C256AL.pdf","256K","32Kx8","5V","25,45","SOP(28),TSOP1(28)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS65LV256AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65LV256AL.pdf"," ","32Kx8","3.3V","15","TSOP2(44),BGA(48)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64WV6416EEBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV6416EEBLL.pdf","1M","64Kx16","2.4-3.6V","8,10","TSOP2(44),BGA(48)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64C6416AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61C6416AL.pdf"," ","64Kx16","4.5-5.5V","15","SOJ(44),TSOP2(44)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64WV6416BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV6416BLL.pdf"," ","64Kx16","2.5-3.6V","15","TSOP2(44),BGA(48)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64C1024AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64C1024AL.pdf"," ","128Kx8","5V","15","SOJ(32.4),TSOP1(32)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64WV1024BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/63-64WV1024BLL.pdf"," ","128Kx8","2.5-3.6V","15","TSOP2(32),BGA(48),sTSOP1(32)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS65C1024AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65C1024AL.pdf"," ","128Kx8","5V","45","SOP(32),TSOP1(32)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS65WV1288BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62WV1288ALL.pdf"," ","128Kx8","2.5-3.6V","55","TSOP1(32),sTSOP1(32)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---Automotive Asynchronous SRAM","IS64WV2568EDBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV2568EDBLL.pdf","2M","256Kx8","2.4-3.6V","10","SOJ(36),TSOP2(44),BGA(36)","Prod","-","ECC Based SRAM"
