"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","Speed(ns)","Pkg(Pins)","Status","Models","Comment"
"issi","SRAM-Asynchronous SRAM---5V High-Speed Asynchronous SRAM","IS61C64AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61C64AL.pdf","64K","8Kx8","5V","10","SOJ(28),TSOP1(28)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---5V High-Speed Asynchronous SRAM","IS61C256AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61C256AL.pdf","256K","32Kx8","5V","10,12","SOJ(28),TSOP1(28)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---5V High-Speed Asynchronous SRAM","IS61C3216AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61C3216AL.pdf","512K","32Kx16","5V","12","SOJ(44),TSOP2(44)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---5V High-Speed Asynchronous SRAM","IS61C6416AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61C6416AL.pdf","1M","64Kx16","5V","12","SOJ(44),TSOP2(44)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---5V High-Speed Asynchronous SRAM","IS61C1024AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64C1024AL.pdf"," ","128Kx8","5V","12","SOJ(32.3),SOJ(32.4),TSOP1(32),sTSOP(32)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---5V High-Speed Asynchronous SRAM","IS61C5128AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64C5128AL.pdf","4M","512Kx8","5V","10,12","SOJ(36),TSOP2(44)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---5V High-Speed Asynchronous SRAM","IS61C5128AS","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64C5128AL.pdf"," ","512Kx8","5V","25","SOP(36),sTSOP1(32),TSOP2(32)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---5V High-Speed Asynchronous SRAM","IS61C25616AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64C25616AL-AS.pdf"," ","256Kx16","5V","10","SOJ(44),TSOP2(44)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---5V High-Speed Asynchronous SRAM","IS61C25616AS","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64C25616AL-AS.pdf"," ","256Kx16","5V","25","SOJ(44),TSOP2(44)","Prod","-"," "
