"brand","Series","PartNo","DetailLink","dataSheet","Channels","Power(W)","THD+N","PSRR(dB)","Vdd(V)","ISD(uA)","ICC(mA)","Pkg-Pin(mm)","Document","Status"
"issi","Analog-Audio Amplifiers---Class-K Speaker Amplifier","IS31AP2036","http://www.issi.com/US/product-analog-audio-amp.shtml","http://www.issi.com/WW/pdf/31AP2036.pdf","1","2W(8Ω Speaker)","0.05%"," -72dB ","3.0-5.0","1","10","FCQFN-16","-","Prod"
"issi","Analog-Audio Amplifiers---Class-K Speaker Amplifier","IS31AP2036A","http://www.issi.com/US/product-analog-audio-amp.shtml","http://www.issi.com/WW/pdf/31AP2036A.pdf","1","2W(8Ω Speaker)","0.05%"," -64dB ","3.0-5.0","1","10","FCQFN-16"," ","Sample"
