"brand","Series","PartNo","DetailLink","dataSheet","Channels","Power(W)","THD+N","PSRR(dB)","Vdd(V)","ISD(uA)","ICC(mA)","Pkg-Pin(mm)","Document","Status"
"issi","Analog-Audio Amplifiers---Class-AB Audio Power Amplifier","IS31AP4066D","http://www.issi.com/US/product-analog-audio-amp.shtml","http://www.issi.com/WW/pdf/31AP4066D.pdf","2","1.3","0.10%","60","2.7-5.5","1.1","3.9","QFN-16(3x3)","-","Prod"
"issi","Analog-Audio Amplifiers---Class-AB Audio Power Amplifier","IS31AP4088A","http://www.issi.com/US/product-analog-audio-amp.shtml","http://www.issi.com/WW/pdf/31AP4088A.pdf","2,2HP","2.8","0.06%","80","2.7-5.5","1","5.7","QFN-16(4x4)","-","Prod"
"issi","Analog-Audio Amplifiers---Class-AB Audio Power Amplifier","IS31AP4088D","http://www.issi.com/US/product-analog-audio-amp.shtml","http://www.issi.com/WW/pdf/31AP4088D.pdf","2","2.6","0.10%","60","2.7-5.5","1","4.5","QFN-16(4x4)","-","Prod"
"issi","Analog-Audio Amplifiers---Class-AB Audio Power Amplifier","IS31AP4833","http://www.issi.com/US/product-analog-audio-amp.shtml","http://www.issi.com/WW/pdf/31AP4833.pdf","2+,2HP","2.8","0.022%","67","3.0-5.5","1","6","QFN-36(4x4),TQFP-48(9x9)","-","Prod"
"issi","Analog-Audio Amplifiers---Class-AB Audio Power Amplifier","IS31AP4990D","http://www.issi.com/US/product-analog-audio-amp.shtml","http://www.issi.com/WW/pdf/31AP4990D.pdf","1","1.2","0.23%","61","2.7-5.5","1","3.8","UTQFN-9L(1.5x1.5)","-","Prod"
"issi","Analog-Audio Amplifiers---Class-AB Audio Power Amplifier","IS31AP4991","http://www.issi.com/US/product-analog-audio-amp.shtml","http://www.issi.com/WW/pdf/31AP4991.pdf","1","1.2","0.03%","65","2.7-5.5","1","4.8","MSOP-8,SOP-8","-","Prod"
"issi","Analog-Audio Amplifiers---Class-AB Audio Power Amplifier","IS31AP4991A","http://www.issi.com/US/product-analog-audio-amp.shtml","http://www.issi.com/WW/pdf/31AP4991A.pdf","1","1.1","0.03%","65","2.7-5.5","1","4.8","MSOP-8,SOP-8","-","Prod"
"issi","Analog-Audio Amplifiers---Class-AB Audio Power Amplifier","IS31AP4996","http://www.issi.com/US/product-analog-audio-amp.shtml","http://www.issi.com/WW/pdf/31AP4996.pdf","1","1.1","0.074%","68","2.7-5.5","1","3.0","MSOP-8,SOP-8","-","Prod"
