"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","VccQ","Speed(Mhz)","tKQ(ns)","Pkg(Pins)","Status","Models","Comment"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","128Kx32","3.3V","2.5/3.3V","177,133","7.5,6.5","BGA(119),QFP(100),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF12836A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF12836A_25618A.pdf"," ","128Kx36","3.3V","2.5/3.3V","177,133","7.5,6.5","BGA(119),QFP(100),BGA(165)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","128Kx36","3.3V","2.5/3.3V","177,133","7.5,6.5","BGA(119),QFP(100),BGA(165)","Prod"," ","F,ECC feature"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF25618A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF12836A_25618A.pdf"," ","256Kx18","3.3V","2.5/3.3V","177,133","7.5,6.5","BGA(119),QFP(100),BGA(165)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","256Kx18","3.3V","2.5/3.3V","177,133","7.5,6.5","BGA(119),QFP(100),BGA(165)","Prod"," ","F,ECC feature"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","128Kx32","2.5V","2.5V","177,133","7.5,6.5","BGA(119),QFP(100),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF12836A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF12836A_25618A.pdf"," ","128Kx36","2.5V","2.5V","177,133","7.5,6.5","BGA(119),QFP(100),BGA(165)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","128Kx36","2.5V","2.5V","177,133","7.5,6.5","BGA(119),QFP(100),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF25618A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF12836A_25618A.pdf"," ","256Kx18","2.5V","2.5V","177,133","7.5,6.5","BGA(119),QFP(100),BGA(165)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","256Kx18","2.5V","2.5V","177,133","7.5,6.5","BGA(119),QFP(100),BGA(165)","Prod","-","F,ECC feature"
