"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Type","Vcc","Refsh","Speed","Pkg(Pins)","Status","Models","Comment"
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR81280AL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16640A-81280A-16640AL.pdf","1G","128Mx8","DDR3","1.35V","8K","1600","BGA(78)","Prod","-"," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR81280BL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16640B-81280BL.pdf"," ","128Mx8","DDR3","1.35V","8K","1866,1600,1333","BGA(78)","Prod","-"," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR16640AL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16640A-81280A-16640AL.pdf"," ","64Mx16","DDR3","1.35V","8K","1600","BGA(96)","Prod","-"," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR16640BL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16640B-81280BL.pdf"," ","64Mx16","DDR3","1.35V","8K","1600,1600,1333","BGA(96)","Prod","-"," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR82560AL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16128A-82560AL.pdf","2G","256Mx8","DDR3","1.35V","8K","1600,1333","BGA(78)","EOL","-"," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR82560BL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16128B-82560BL.pdf"," ","256Mx8","DDR3","1.35V","8K","1866,1600,1333","BGA(78)","Prod","-"," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR82560CL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16128C-82560CL.pdf"," ","256Mx8","DDR3","1.35V","8K","1866,1600,1333","BGA(78)","S=NOW"," "," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR16128AL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16128A-82560AL.pdf"," ","128Mx16","DDR3","1.35V","8K","1600,1333","BGA(96)","NR","-"," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR16128BL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16128B-82560BL.pdf"," ","128Mx16","DDR3","1.35V","8K","1866,1600,1333","BGA(96)","Prod","-"," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR16128CL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16128C-82560CL.pdf"," ","128Mx16","DDR3","1.35V","8K","1866,1600,1333","BGA(96)","S=NOW"," "," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR85120AL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16256A-85120AL.pdf","4G","512Mx8","DDR3","1.35V","8K","1866,1600,1333","BGA(78)","Prod","-"," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR16256AL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16256A-85120AL.pdf"," ","256Mx16","DDR3","1.35V","8K","1866,1600,1333","BGA(96)","Prod","-"," "
"issi","DRAM-DDR3 SDRAM---1.35V DDR3L SDRAM","IS43TR16512AL","http://www.issi.com/US/product-dram-ddr3.shtml","http://www.issi.com/WW/pdf/43-46TR16512A.pdf","8G","512Mx16","DDR3","1.35V","8K","1866,1600,1333","BGA(96)","Prod","-"," "
