"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","VccQ","Speed(Mhz)","tKQ(ns)","Pkg(Pins)","Status","Models","Comment/ Prev. Rev."
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS102436B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS102436B_204818B.pdf","36M","1Mx36","3.3V","2.5/3.3V","250,200,166","2.6,3.1,3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD,"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS204818B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS102436B_204818B.pdf"," ","2Mx18","3.3V","2.5/3.3V","250,200,166","2.6,3.1,3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD,"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPS102436B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS102436B_204818B.pdf"," ","1Mx36","2.5V","2.5V","250,200,166","2.6,3.1,3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD,"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPS204818B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS102436B_204818B.pdf"," ","2Mx18","2.5V","2.5V","250,200,166","2.6,3.1,3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD,"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VVPS102436B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS102436B_204818B.pdf"," ","1Mx36","1.8V","1.8V","250,200,166","2.6,3.1,3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VVPS204818B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS102436B_204818B.pdf"," ","2Mx18","1.8V","1.8V","250,200,166","2.6,3.1,3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS204832B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS204836B_409618B.pdf","72M","2Mx32","3.3V","2.5/3.3V","200","3.1","QFP(100)","Prod"," ","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS204836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS204836B_409618B.pdf"," ","2Mx36","3.3V","2.5/3.3V","250,200,166","2.6,3.1,3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS409618B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS204836B_409618B.pdf"," ","4Mx18","3.3V","2.5/3.3V","250,200,166","2.6,3.1,3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPS204836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS204836B_409618B.pdf"," ","2Mx36","2.5V","2.5V","250,200,166","2.6,3.1,3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPS409618B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS204836B_409618B.pdf"," ","4Mx18","2.5V","2.5V","250,200,166","2.6,3.1,3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VVPS204836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS204836B_409618B.pdf"," ","2Mx36","1.8V","1.8V","166","3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VVPS409618B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS204836B_409618B.pdf"," ","4Mx18","1.8V","1.8V","166","3.5","QFP(100),BGA(165),BGA(119)","Prod"," ","P/SCD"
