"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Type","Vcc","Refsh","Speed(Mhz)","Pkg(Pins)","Status","Models","Comment","Den","Org","Type","Part Number","Vcc","Refsh","Speed(Mhz)","Pkg(Pins)","Status","Models","Comment"
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42VS16160J","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42VS83200J-16160J-32800J.pdf","256M","16Mx16","MSDR","1.8V","8K","125,100","TSOP2(54),BGA(54)","S=NOW"," "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42VS83200J","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42VS83200J-16160J-32800J.pdf"," ","8Mx32","MSDR","1.8V","8K","125,100","TSOP2(86),BGA(90)","S=NOW"," "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42/45R16320D","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42-45R-S_86400D-16320D-32160D.pdf","512M","32Mx16","MSDR","2.5V","8K","143","TSOP2(54),BGA(54)","Prod"," "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42VS16100E","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42VS16100E.pdf","16M","1Mx16","MSDR","1.8V","2K","133,100","TSOP2(50),BGA(60)","-"," "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42VM/RM/SM16200C","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42SM-RM-VM16200C.pdf","32M","2Mx16","MSDR","1.8/2.5/3.3V","4K","166,133","BGA(54)","EOL",","," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42VM/RM/SM32100C","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42SM-RM-VM32100C.pdf"," ","2Mx16","MSDR","1.8/2.5/3.3V","4K","166,133","BGA(90)","EOL",","," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42SM16400G","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42SM16400G.pdf","64M","4Mx16","MSDR","3.3V","4K","166,133","BGA(54)","-"," "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42VM16400G","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42VM16400G.pdf"," ","4Mx16","MSDR","1.8V","4K","133","BGA(54)","-","-"," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42VM/RM/SM16400K","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42SM-RM-VM16400K.pdf"," ","4Mx16","MSDR","1.8/2.5/3.3V","4K","166,133","BGA(54)","EOL",","," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42SM32200G","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42SM32200G.pdf"," ","2Mx32","MSDR","3.3V","4K","166,133","BGA(90)","-"," "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42VM32200G","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42VM32200G.pdf"," ","2Mx32","MSDR","1.8V","4K","133","BGA(90)","-","-"," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42VM/RM/SM32200K","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42SM-RM-VM32200K.pdf"," ","2Mx32","MSDR","1.8/2.5/3.3V","4K","166,133","BGA(90)","EOL",","," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42VS16400E","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42VS16400E.pdf"," ","4Mx16","MSDR","1.8V","4K","133","TSOP2(54),BGA(54)","EOL"," "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42/45VS16400L","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42-45VS16400L.pdf"," ","4Mx16","MSDR","1.8V","4K","133","BGA(54)","-"," "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42VS32200E","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42VS32200E.pdf"," ","2Mx32","MSDR","1.8V","4K","133","TSOP2(86),BGA(90)","EOL"," "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM---Low Voltage SDR SDRAM","IS42RM/SM81600E","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42RM-SM81600E-16800E-32400E.pdf","128M","8Mx16","MSDR","2.5/3.3V","4K","166,143","TSOP2(54),BGA(54)","-"," "," "
