"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","VccQ","Speed(Mhz)","tKQ(ns)","Pkg(Pins)","Status","Models","Comment"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LF25618A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VF_LF12836A_25618A.pdf"," ","256Kx18","3.3V","2.5/3.3V","117","7.5","QFP(100)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LF25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LF_VF12832EC-12836EC-25618EC.pdf"," ","256Kx18","3.3V","2.5/3.3V","133,117","6.5,7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VF12832A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VF_LF12836A_25618A.pdf"," ","128Kx32","2.5V","2.5V","117","7.5","QFP(100)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VF12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LF_VF12832EC-12836EC-25618EC.pdf"," ","128Kx32","2.5V","2.5V","133,117","6.5,7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VF12836A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VF_LF12836A_25618A.pdf"," ","128Kx36","2.5V","2.5V","117","7.5","QFP(100)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VF12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LF_VF12832EC-12836EC-25618EC.pdf"," ","128Kx36","2.5V","2.5V","133,117","6.5,7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VF25618A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VF_LF12836A_25618A.pdf"," ","256Kx18","2.5V","2.5V","117","7.5","QFP(100)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VF25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LF_VF12832EC-12836EC-25618EC.pdf"," ","256Kx18","2.5V","2.5V","133,117","6.5,7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NLF12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","128x32","3.3V","2.5/3.3V","117,133","6.5,7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64NLF12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLF_NVF12832EC-12836EC-25618EC.pdf"," ","128Kx36","3.3V","2.5/3.3V","117,133","6.5,7.5","QFP(100),BGA(119),BGA(165)","Prod","-","F,ECC feature"
